Provider,IP_Claim_Count,IP_Unique_Beneficiaries,IP_Total_Reimbursement,IP_Avg_Reimbursement,IP_Total_Deductible,IP_Avg_Deductible,OP_Claim_Count,OP_Unique_Beneficiaries,OP_Total_Reimbursement,OP_Avg_Reimbursement,OP_Total_Deductible,OP_Avg_Deductible,Total_Unique_Beneficiaries,Total_Claim_Count,Total_Reimbursement,Total_Deductible,Claims_Per_Beneficiary,Reimbursement_Per_Beneficiary,Reimbursement_Per_Claim,IP_Claim_Share
PRV51032,0.0,0.0,0.0,0.0,0.0,0.0,23.0,21.0,5420.0,235.65217391304347,50.0,2.1739130434782608,21,23.0,5420.0,50.0,1.0952380952380953,258.0952380952381,235.65217391304347,0.0
PRV51035,1.0,1.0,29000.0,29000.0,1068.0,1068.0,29.0,24.0,3560.0,122.75862068965517,360.0,12.413793103448276,25,30.0,32560.0,1428.0,1.2,1302.4,1085.3333333333333,0.03333333333333333
PRV51036,0.0,0.0,0.0,0.0,0.0,0.0,278.0,131.0,74880.0,269.3525179856115,1410.0,5.071942446043166,131,278.0,74880.0,1410.0,2.122137404580153,571.6030534351145,269.3525179856115,0.0
PRV51037,23.0,21.0,214000.0,9304.347826086956,24564.0,1068.0,431.0,202.0,128230.0,297.51740139211137,960.0,2.2273781902552203,206,454.0,342230.0,25524.0,2.203883495145631,1661.3106796116506,753.8105726872246,0.05066079295154185
PRV51038,30.0,26.0,229600.0,7653.333333333333,30972.0,1068.0,111.0,83.0,35890.0,323.3333333333333,220.0,1.981981981981982,107,141.0,265490.0,31192.0,1.3177570093457944,2481.214953271028,1882.9078014184397,0.2127659574468085
PRV51040,9.0,8.0,63000.0,7000.0,8544.0,1068.0,77.0,62.0,11470.0,148.96103896103895,240.0,3.116883116883117,69,86.0,74470.0,8784.0,1.2463768115942029,1079.2753623188405,865.9302325581396,0.10465116279069768
PRV51041,0.0,0.0,0.0,0.0,0.0,0.0,34.0,31.0,7410.0,217.94117647058823,270.0,7.9411764705882355,31,34.0,7410.0,270.0,1.096774193548387,239.03225806451613,217.94117647058823,0.0
PRV51042,0.0,0.0,0.0,0.0,0.0,0.0,142.0,128.0,48050.0,338.38028169014086,310.0,2.183098591549296,128,142.0,48050.0,310.0,1.109375,375.390625,338.38028169014086,0.0
PRV51043,0.0,0.0,0.0,0.0,0.0,0.0,23.0,20.0,4480.0,194.7826086956522,0.0,0.0,20,23.0,4480.0,0.0,1.15,224.0,194.7826086956522,0.0
PRV51044,0.0,0.0,0.0,0.0,0.0,0.0,59.0,39.0,21330.0,361.52542372881356,130.0,2.2033898305084745,39,59.0,21330.0,130.0,1.5128205128205128,546.9230769230769,361.52542372881356,0.0
PRV51045,0.0,0.0,0.0,0.0,0.0,0.0,31.0,29.0,8390.0,270.64516129032256,40.0,1.2903225806451613,29,31.0,8390.0,40.0,1.0689655172413792,289.3103448275862,270.64516129032256,0.0
PRV51046,8.0,7.0,101000.0,12625.0,8544.0,1068.0,30.0,19.0,8370.0,279.0,100.0,3.3333333333333335,26,38.0,109370.0,8644.0,1.4615384615384615,4206.538461538462,2878.157894736842,0.21052631578947367
PRV51047,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,2530.0,230.0,0.0,0.0,11,11.0,2530.0,0.0,1.0,230.0,230.0,0.0
PRV51048,4.0,4.0,19000.0,4750.0,4272.0,1068.0,34.0,30.0,8700.0,255.88235294117646,80.0,2.3529411764705883,33,38.0,27700.0,4352.0,1.1515151515151516,839.3939393939394,728.9473684210526,0.10526315789473684
PRV51049,0.0,0.0,0.0,0.0,0.0,0.0,71.0,65.0,21720.0,305.9154929577465,190.0,2.676056338028169,65,71.0,21720.0,190.0,1.0923076923076922,334.15384615384613,305.9154929577465,0.0
PRV51052,2.0,2.0,14000.0,7000.0,2136.0,1068.0,44.0,36.0,16800.0,381.8181818181818,210.0,4.7727272727272725,37,46.0,30800.0,2346.0,1.2432432432432432,832.4324324324324,669.5652173913044,0.043478260869565216
PRV51053,1.0,1.0,8000.0,8000.0,1068.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,8000.0,1068.0,1.0,8000.0,8000.0,1.0
PRV51054,0.0,0.0,0.0,0.0,0.0,0.0,57.0,40.0,15130.0,265.43859649122805,140.0,2.456140350877193,40,57.0,15130.0,140.0,1.425,378.25,265.43859649122805,0.0
PRV51055,2.0,2.0,16700.0,8350.0,2136.0,1068.0,20.0,20.0,4940.0,247.0,70.0,3.5,22,22.0,21640.0,2206.0,1.0,983.6363636363636,983.6363636363636,0.09090909090909091
PRV51056,2.0,2.0,8000.0,4000.0,2136.0,1068.0,20.0,19.0,6700.0,335.0,10.0,0.5,21,22.0,14700.0,2146.0,1.0476190476190477,700.0,668.1818181818181,0.09090909090909091
PRV51057,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,6830.0,1366.0,0.0,0.0,4,5.0,6830.0,0.0,1.25,1707.5,1366.0,0.0
PRV51058,5.0,5.0,91000.0,18200.0,5340.0,1068.0,78.0,71.0,16030.0,205.51282051282053,200.0,2.5641025641025643,75,83.0,107030.0,5540.0,1.1066666666666667,1427.0666666666666,1289.5180722891566,0.060240963855421686
PRV51059,25.0,23.0,401000.0,16040.0,26700.0,1068.0,71.0,60.0,20060.0,282.53521126760563,240.0,3.380281690140845,82,96.0,421060.0,26940.0,1.170731707317073,5134.878048780488,4386.041666666667,0.2604166666666667
PRV51060,5.0,5.0,35000.0,7000.0,5340.0,1068.0,37.0,37.0,8710.0,235.40540540540542,0.0,0.0,42,42.0,43710.0,5340.0,1.0,1040.7142857142858,1040.7142857142858,0.11904761904761904
PRV51061,1.0,1.0,3000.0,3000.0,1068.0,1068.0,144.0,66.0,51940.0,360.69444444444446,260.0,1.8055555555555556,67,145.0,54940.0,1328.0,2.1641791044776117,820.0,378.8965517241379,0.006896551724137931
PRV51062,3.0,3.0,45000.0,15000.0,3204.0,1068.0,394.0,164.0,108380.0,275.0761421319797,740.0,1.8781725888324874,166,397.0,153380.0,3944.0,2.391566265060241,923.9759036144578,386.3476070528967,0.007556675062972292
PRV51063,0.0,0.0,0.0,0.0,0.0,0.0,149.0,115.0,51110.0,343.02013422818794,160.0,1.0738255033557047,115,149.0,51110.0,160.0,1.2956521739130435,444.4347826086956,343.02013422818794,0.0
PRV51064,36.0,34.0,280000.0,7777.777777777777,38448.0,1068.0,267.0,198.0,80320.0,300.8239700374532,500.0,1.8726591760299625,227,303.0,360320.0,38948.0,1.3348017621145374,1587.3127753303966,1189.1749174917493,0.1188118811881188
PRV51065,10.0,10.0,75000.0,7500.0,9612.0,1068.0,18.0,16.0,1570.0,87.22222222222223,110.0,6.111111111111111,26,28.0,76570.0,9722.0,1.0769230769230769,2945.0,2734.6428571428573,0.35714285714285715
PRV51066,2.0,2.0,19000.0,9500.0,2136.0,1068.0,22.0,19.0,5790.0,263.1818181818182,100.0,4.545454545454546,21,24.0,24790.0,2236.0,1.1428571428571428,1180.4761904761904,1032.9166666666667,0.08333333333333333
PRV51067,12.0,11.0,326000.0,27166.666666666668,12816.0,1068.0,46.0,39.0,8520.0,185.2173913043478,280.0,6.086956521739131,49,58.0,334520.0,13096.0,1.183673469387755,6826.938775510204,5767.586206896552,0.20689655172413793
PRV51068,9.0,9.0,77000.0,8555.555555555555,8544.0,1068.0,252.0,206.0,66260.0,262.93650793650795,440.0,1.746031746031746,214,261.0,143260.0,8984.0,1.219626168224299,669.4392523364486,548.8888888888889,0.034482758620689655
PRV51070,10.0,10.0,101000.0,10100.0,10680.0,1068.0,89.0,61.0,24410.0,274.2696629213483,300.0,3.3707865168539324,69,99.0,125410.0,10980.0,1.434782608695652,1817.536231884058,1266.7676767676767,0.10101010101010101
PRV51071,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,8550.0,356.25,50.0,2.0833333333333335,24,24.0,8550.0,50.0,1.0,356.25,356.25,0.0
PRV51072,12.0,12.0,72000.0,6000.0,11748.0,1068.0,200.0,150.0,47170.0,235.85,430.0,2.15,160,212.0,119170.0,12178.0,1.325,744.8125,562.122641509434,0.05660377358490566
PRV51074,5.0,5.0,31000.0,6200.0,5340.0,1068.0,34.0,34.0,10170.0,299.11764705882354,80.0,2.3529411764705883,39,39.0,41170.0,5420.0,1.0,1055.6410256410256,1055.6410256410256,0.1282051282051282
PRV51075,0.0,0.0,0.0,0.0,0.0,0.0,17.0,13.0,8550.0,502.94117647058823,70.0,4.117647058823529,13,17.0,8550.0,70.0,1.3076923076923077,657.6923076923077,502.94117647058823,0.0
PRV51076,0.0,0.0,0.0,0.0,0.0,0.0,29.0,27.0,10230.0,352.7586206896552,50.0,1.7241379310344827,27,29.0,10230.0,50.0,1.0740740740740742,378.8888888888889,352.7586206896552,0.0
PRV51077,16.0,13.0,199000.0,12437.5,16020.0,1068.0,17.0,17.0,5350.0,314.70588235294116,200.0,11.764705882352942,30,33.0,204350.0,16220.0,1.1,6811.666666666667,6192.424242424242,0.48484848484848486
PRV51078,9.0,9.0,76000.0,8444.444444444445,8544.0,1068.0,14.0,14.0,2270.0,162.14285714285714,100.0,7.142857142857143,23,23.0,78270.0,8644.0,1.0,3403.0434782608695,3403.0434782608695,0.391304347826087
PRV51081,6.0,6.0,79000.0,13166.666666666666,6408.0,1068.0,194.0,125.0,45080.0,232.37113402061857,760.0,3.917525773195876,131,200.0,124080.0,7168.0,1.5267175572519085,947.175572519084,620.4,0.03
PRV51082,0.0,0.0,0.0,0.0,0.0,0.0,34.0,31.0,5470.0,160.88235294117646,70.0,2.0588235294117645,31,34.0,5470.0,70.0,1.096774193548387,176.4516129032258,160.88235294117646,0.0
PRV51083,0.0,0.0,0.0,0.0,0.0,0.0,90.0,81.0,18100.0,201.11111111111111,140.0,1.5555555555555556,81,90.0,18100.0,140.0,1.1111111111111112,223.45679012345678,201.11111111111111,0.0
PRV51084,20.0,19.0,191000.0,9550.0,21360.0,1068.0,90.0,67.0,24580.0,273.1111111111111,530.0,5.888888888888889,85,110.0,215580.0,21890.0,1.2941176470588236,2536.235294117647,1959.8181818181818,0.18181818181818182
PRV51086,31.0,30.0,413000.0,13322.58064516129,33108.0,1068.0,108.0,86.0,33170.0,307.1296296296296,60.0,0.5555555555555556,115,139.0,446170.0,33168.0,1.208695652173913,3879.7391304347825,3209.856115107914,0.22302158273381295
PRV51089,18.0,18.0,177000.0,9833.333333333334,18156.0,1068.0,210.0,179.0,53900.0,256.6666666666667,540.0,2.5714285714285716,197,228.0,230900.0,18696.0,1.1573604060913705,1172.0812182741117,1012.719298245614,0.07894736842105263
PRV51090,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,5830.0,832.8571428571429,60.0,8.571428571428571,7,7.0,5830.0,60.0,1.0,832.8571428571429,832.8571428571429,0.0
PRV51091,0.0,0.0,0.0,0.0,0.0,0.0,44.0,44.0,9270.0,210.6818181818182,80.0,1.8181818181818181,44,44.0,9270.0,80.0,1.0,210.6818181818182,210.6818181818182,0.0
PRV51093,2.0,2.0,11000.0,5500.0,2136.0,1068.0,7.0,7.0,2710.0,387.14285714285717,0.0,0.0,9,9.0,13710.0,2136.0,1.0,1523.3333333333333,1523.3333333333333,0.2222222222222222
PRV51096,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3200.0,640.0,100.0,20.0,5,5.0,3200.0,100.0,1.0,640.0,640.0,0.0
PRV51097,0.0,0.0,0.0,0.0,0.0,0.0,125.0,71.0,44420.0,355.36,230.0,1.84,71,125.0,44420.0,230.0,1.7605633802816902,625.6338028169014,355.36,0.0
PRV51098,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,300.0,75.0,0.0,0.0,4,4.0,300.0,0.0,1.0,75.0,75.0,0.0
PRV51100,5.0,5.0,78000.0,15600.0,5340.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5.0,78000.0,5340.0,1.0,15600.0,15600.0,1.0
PRV51101,3.0,3.0,16600.0,5533.333333333333,3204.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.0,16600.0,3204.0,1.0,5533.333333333333,5533.333333333333,1.0
PRV51102,12.0,11.0,148000.0,12333.333333333334,12816.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0,11,12.0,148000.0,12816.0,1.0909090909090908,13454.545454545454,12333.333333333334,1.0
PRV51103,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,440.0,73.33333333333333,60.0,10.0,4,6.0,440.0,60.0,1.5,110.0,73.33333333333333,0.0
PRV51104,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,1900.0,158.33333333333334,110.0,9.166666666666666,9,12.0,1900.0,110.0,1.3333333333333333,211.11111111111111,158.33333333333334,0.0
PRV51105,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,6540.0,545.0,0.0,0.0,12,12.0,6540.0,0.0,1.0,545.0,545.0,0.0
PRV51108,19.0,19.0,156000.0,8210.526315789473,19224.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0,19,19.0,156000.0,19224.0,1.0,8210.526315789473,8210.526315789473,1.0
PRV51109,3.0,3.0,18000.0,6000.0,3204.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.0,18000.0,3204.0,1.0,6000.0,6000.0,1.0
PRV51110,5.0,5.0,27000.0,5400.0,5340.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5.0,27000.0,5340.0,1.0,5400.0,5400.0,1.0
PRV51111,0.0,0.0,0.0,0.0,0.0,0.0,132.0,85.0,54860.0,415.6060606060606,200.0,1.5151515151515151,85,132.0,54860.0,200.0,1.5529411764705883,645.4117647058823,415.6060606060606,0.0
PRV51112,0.0,0.0,0.0,0.0,0.0,0.0,304.0,195.0,105250.0,346.2171052631579,810.0,2.664473684210526,195,304.0,105250.0,810.0,1.558974358974359,539.7435897435897,346.2171052631579,0.0
PRV51113,0.0,0.0,0.0,0.0,0.0,0.0,132.0,78.0,46390.0,351.43939393939394,550.0,4.166666666666667,78,132.0,46390.0,550.0,1.6923076923076923,594.7435897435897,351.43939393939394,0.0
PRV51114,0.0,0.0,0.0,0.0,0.0,0.0,262.0,160.0,76720.0,292.82442748091603,560.0,2.1374045801526718,160,262.0,76720.0,560.0,1.6375,479.5,292.82442748091603,0.0
PRV51115,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,980.0,140.0,20.0,2.857142857142857,6,7.0,980.0,20.0,1.1666666666666667,163.33333333333334,140.0,0.0
PRV51117,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,1950.0,162.5,0.0,0.0,10,12.0,1950.0,0.0,1.2,195.0,162.5,0.0
PRV51118,16.0,16.0,136000.0,8500.0,14952.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0,16,16.0,136000.0,14952.0,1.0,8500.0,8500.0,1.0
PRV51119,94.0,81.0,985000.0,10478.72340425532,96120.0,1068.0,1.0,1.0,95580.0,95580.0,865.0,865.0,81,95.0,1080580.0,96985.0,1.1728395061728396,13340.493827160493,11374.526315789473,0.9894736842105263
PRV51120,7.0,7.0,52000.0,7428.571428571428,7476.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7.0,52000.0,7476.0,1.0,7428.571428571428,7428.571428571428,1.0
PRV51121,6.0,6.0,81000.0,13500.0,6408.0,1068.0,1.0,1.0,80.0,80.0,0.0,0.0,7,7.0,81080.0,6408.0,1.0,11582.857142857143,11582.857142857143,0.8571428571428571
PRV51122,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1120.0,160.0,0.0,0.0,7,7.0,1120.0,0.0,1.0,160.0,160.0,0.0
PRV51123,2.0,2.0,9000.0,4500.0,2136.0,1068.0,29.0,28.0,17910.0,617.5862068965517,40.0,1.3793103448275863,28,31.0,26910.0,2176.0,1.1071428571428572,961.0714285714286,868.0645161290323,0.06451612903225806
PRV51125,12.0,12.0,110000.0,9166.666666666666,12816.0,1068.0,36.0,20.0,21310.0,591.9444444444445,280.0,7.777777777777778,32,48.0,131310.0,13096.0,1.5,4103.4375,2735.625,0.25
PRV51126,20.0,14.0,177000.0,8850.0,21360.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0,14,20.0,177000.0,21360.0,1.4285714285714286,12642.857142857143,8850.0,1.0
PRV51128,5.0,3.0,90000.0,18000.0,5340.0,1068.0,45.0,37.0,12220.0,271.55555555555554,0.0,0.0,38,50.0,102220.0,5340.0,1.3157894736842106,2690.0,2044.4,0.1
PRV51129,0.0,0.0,0.0,0.0,0.0,0.0,96.0,65.0,22920.0,238.75,480.0,5.0,65,96.0,22920.0,480.0,1.476923076923077,352.61538461538464,238.75,0.0
PRV51130,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,4970.0,710.0,0.0,0.0,7,7.0,4970.0,0.0,1.0,710.0,710.0,0.0
PRV51131,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,1160.0,145.0,70.0,8.75,8,8.0,1160.0,70.0,1.0,145.0,145.0,0.0
PRV51132,1.0,1.0,4000.0,4000.0,1068.0,1068.0,7.0,5.0,1330.0,190.0,0.0,0.0,6,8.0,5330.0,1068.0,1.3333333333333333,888.3333333333334,666.25,0.125
PRV51134,0.0,0.0,0.0,0.0,0.0,0.0,15.0,12.0,7610.0,507.3333333333333,80.0,5.333333333333333,12,15.0,7610.0,80.0,1.25,634.1666666666666,507.3333333333333,0.0
PRV51135,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,300.0,60.0,0.0,0.0,2,5.0,300.0,0.0,2.5,150.0,60.0,0.0
PRV51136,1.0,1.0,20000.0,20000.0,1068.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,20000.0,1068.0,1.0,20000.0,20000.0,1.0
PRV51137,1.0,1.0,6000.0,6000.0,1068.0,1068.0,54.0,50.0,10050.0,186.11111111111111,280.0,5.185185185185185,51,55.0,16050.0,1348.0,1.0784313725490196,314.70588235294116,291.8181818181818,0.01818181818181818
PRV51138,1.0,1.0,6000.0,6000.0,1068.0,1068.0,25.0,20.0,7430.0,297.2,0.0,0.0,21,26.0,13430.0,1068.0,1.2380952380952381,639.5238095238095,516.5384615384615,0.038461538461538464
PRV51139,7.0,7.0,41300.0,5900.0,7476.0,1068.0,36.0,35.0,11280.0,313.3333333333333,40.0,1.1111111111111112,42,43.0,52580.0,7516.0,1.0238095238095237,1251.904761904762,1222.7906976744187,0.16279069767441862
PRV51140,47.0,45.0,307400.0,6540.425531914893,49128.0,1068.0,440.0,363.0,145730.0,331.20454545454544,1290.0,2.9318181818181817,394,487.0,453130.0,50418.0,1.236040609137056,1150.0761421319796,930.4517453798768,0.09650924024640657
PRV51141,0.0,0.0,0.0,0.0,0.0,0.0,71.0,37.0,19490.0,274.50704225352115,170.0,2.3943661971830985,37,71.0,19490.0,170.0,1.9189189189189189,526.7567567567568,274.50704225352115,0.0
PRV51142,7.0,5.0,97000.0,13857.142857142857,7476.0,1068.0,44.0,35.0,7570.0,172.04545454545453,60.0,1.3636363636363635,38,51.0,104570.0,7536.0,1.3421052631578947,2751.842105263158,2050.392156862745,0.13725490196078433
PRV51143,0.0,0.0,0.0,0.0,0.0,0.0,77.0,68.0,20450.0,265.5844155844156,350.0,4.545454545454546,68,77.0,20450.0,350.0,1.1323529411764706,300.7352941176471,265.5844155844156,0.0
PRV51144,4.0,4.0,53000.0,13250.0,4272.0,1068.0,26.0,25.0,8220.0,316.15384615384613,220.0,8.461538461538462,29,30.0,61220.0,4492.0,1.0344827586206897,2111.0344827586205,2040.6666666666667,0.13333333333333333
PRV51145,161.0,125.0,1600600.0,9941.614906832297,166608.0,1068.0,41.0,39.0,5750.0,140.2439024390244,140.0,3.4146341463414633,161,202.0,1606350.0,166748.0,1.2546583850931676,9977.329192546584,7952.227722772277,0.7970297029702971
PRV51146,162.0,157.0,1618200.0,9988.888888888889,170880.0,1068.0,190.0,177.0,62710.0,330.05263157894734,790.0,4.157894736842105,334,352.0,1680910.0,171670.0,1.0538922155688624,5032.664670658683,4775.3125,0.4602272727272727
PRV51147,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,8860.0,276.875,210.0,6.5625,32,32.0,8860.0,210.0,1.0,276.875,276.875,0.0
PRV51148,34.0,33.0,398400.0,11717.64705882353,35244.0,1068.0,296.0,230.0,90260.0,304.93243243243245,1050.0,3.5472972972972974,263,330.0,488660.0,36294.0,1.2547528517110267,1858.0228136882129,1480.7878787878788,0.10303030303030303
PRV51149,116.0,108.0,1113000.0,9594.827586206897,123888.0,1068.0,32.0,28.0,7680.0,240.0,70.0,2.1875,136,148.0,1120680.0,123958.0,1.088235294117647,8240.29411764706,7572.1621621621625,0.7837837837837838
PRV51151,22.0,22.0,142000.0,6454.545454545455,22428.0,1068.0,211.0,203.0,59300.0,281.042654028436,870.0,4.123222748815166,225,233.0,201300.0,23298.0,1.0355555555555556,894.6666666666666,863.9484978540772,0.0944206008583691
PRV51152,0.0,0.0,0.0,0.0,0.0,0.0,83.0,39.0,25770.0,310.48192771084337,500.0,6.024096385542169,39,83.0,25770.0,500.0,2.128205128205128,660.7692307692307,310.48192771084337,0.0
PRV51153,4.0,4.0,51000.0,12750.0,4272.0,1068.0,83.0,79.0,20490.0,246.86746987951807,630.0,7.590361445783133,83,87.0,71490.0,4902.0,1.0481927710843373,861.3253012048193,821.7241379310345,0.04597701149425287
PRV51154,0.0,0.0,0.0,0.0,0.0,0.0,161.0,147.0,45750.0,284.16149068322983,790.0,4.906832298136646,147,161.0,45750.0,790.0,1.0952380952380953,311.2244897959184,284.16149068322983,0.0
PRV51155,0.0,0.0,0.0,0.0,0.0,0.0,115.0,110.0,26330.0,228.95652173913044,160.0,1.391304347826087,110,115.0,26330.0,160.0,1.0454545454545454,239.36363636363637,228.95652173913044,0.0
PRV51156,0.0,0.0,0.0,0.0,0.0,0.0,542.0,425.0,140640.0,259.48339483394835,1720.0,3.1734317343173433,425,542.0,140640.0,1720.0,1.275294117647059,330.91764705882355,259.48339483394835,0.0
PRV51159,65.0,60.0,635660.0,9779.384615384615,69420.0,1068.0,504.0,448.0,162130.0,321.68650793650795,1030.0,2.0436507936507935,506,569.0,797790.0,70450.0,1.1245059288537549,1576.6600790513835,1402.091388400703,0.11423550087873462
PRV51160,90.0,87.0,866000.0,9622.222222222223,96120.0,1068.0,24.0,24.0,6020.0,250.83333333333334,20.0,0.8333333333333334,110,114.0,872020.0,96140.0,1.0363636363636364,7927.454545454545,7649.298245614035,0.7894736842105263
