Provider,Anomaly_Score,Anomaly_Flag,PotentialFraud,Fraud_Label
PRV52970,0.6089738905901012,1,No,0
PRV56774,0.6089738905901012,1,No,0
PRV51393,0.6085225579049838,1,Yes,1
PRV54056,0.6084663765467045,1,Yes,1
PRV54326,0.6081384932824925,1,No,0
PRV52280,0.6080743258455202,1,Yes,1
PRV56885,0.6079359363566972,1,No,0
PRV55916,0.607803444384478,1,No,0
PRV52030,0.6075662365727559,1,Yes,1
PRV52279,0.6073951823968776,1,No,0
PRV57290,0.6069046691618759,1,No,0
PRV54367,0.6068402846366286,1,Yes,1
PRV51523,0.6068279411501996,1,No,0
PRV52114,0.6061121606294865,1,Yes,1
PRV55472,0.6061073650480538,1,Yes,1
PRV51126,0.6058160421293232,1,Yes,1
PRV54675,0.6057290391447273,1,Yes,1
PRV53706,0.6055253428728503,1,Yes,1
PRV52120,0.6055088344901515,1,Yes,1
PRV57667,0.6049917911370114,1,Yes,1
PRV55131,0.6047826593077902,1,No,0
PRV57081,0.6046573788361915,1,No,0
PRV55133,0.6044816549927288,1,No,0
PRV51940,0.6043261809027196,1,Yes,1
PRV52903,0.6041966908044522,1,Yes,1
PRV51578,0.604081993663472,1,Yes,1
PRV56341,0.604022233997848,1,No,0
PRV56712,0.6035621024346465,1,No,0
PRV52972,0.6031766763358288,1,No,0
PRV57077,0.6031683179985938,1,No,0
PRV53677,0.6030784912169115,1,Yes,1
PRV52281,0.6026375297022822,1,No,0
PRV56442,0.6025539424893751,1,Yes,1
PRV55209,0.6023335892487488,1,Yes,1
PRV53601,0.6020183690672151,1,No,0
PRV52814,0.6020183690672151,1,No,0
PRV52460,0.6019583427368624,1,No,0
PRV55048,0.6017508282295757,1,Yes,1
PRV53786,0.6015921487569567,1,Yes,1
PRV55552,0.6015858784370682,1,No,0
PRV54637,0.6003820548439844,1,No,0
PRV56317,0.6003417984397343,1,No,0
PRV53049,0.6003417984397343,1,No,0
PRV52265,0.6000739761082807,1,No,0
PRV51239,0.5994154979051517,1,No,0
PRV52463,0.5994154979051517,1,No,0
PRV57093,0.5994154979051517,1,No,0
PRV55122,0.5994154979051517,1,No,0
PRV54054,0.5994154979051517,1,No,0
PRV52135,0.5993382524805159,1,Yes,1
PRV56105,0.599236899077811,1,No,0
PRV55444,0.5991362497382138,1,Yes,1
PRV56802,0.5991102708745031,1,No,0
PRV53797,0.599056200782889,1,Yes,1
PRV55374,0.5984257665576042,1,Yes,1
PRV56260,0.5982069842186247,1,No,0
PRV54058,0.5980384693531774,1,No,0
PRV55586,0.5980296082626854,1,No,0
PRV53970,0.5977123468556336,1,No,0
PRV57173,0.5974601334527452,1,Yes,1
PRV52821,0.5974198093912941,1,Yes,1
PRV51471,0.597077788960563,1,Yes,1
PRV54955,0.59691026847714,1,Yes,1
PRV55144,0.596907572972729,1,No,0
PRV55811,0.596907572972729,1,No,0
PRV53855,0.5966713553507894,1,Yes,1
PRV51805,0.5966078651099884,1,Yes,1
PRV55435,0.5964552279753256,1,Yes,1
PRV54372,0.5963772649252199,1,Yes,1
PRV52176,0.5961403008885249,1,No,0
PRV51145,0.5956360184170559,1,Yes,1
PRV53220,0.5950045363550858,1,No,0
PRV53667,0.594912899339954,1,No,0
PRV55830,0.5946696965201801,1,No,0
PRV52846,0.5946102557480908,1,Yes,1
PRV51585,0.5943362861616928,1,No,0
PRV57092,0.5939166545675848,1,No,0
PRV55124,0.593768788164638,1,No,0
PRV51248,0.5936549955672131,1,No,0
PRV54673,0.5930929117366202,1,No,0
PRV55146,0.5930929117366202,1,No,0
PRV55816,0.5930929117366202,1,No,0
PRV57632,0.5930929117366202,1,No,0
PRV51812,0.5930929117366202,1,No,0
PRV55156,0.5930929117366202,1,No,0
PRV55483,0.5930673360169699,1,Yes,1
PRV53509,0.5929588130786263,1,No,0
PRV51818,0.5929368654878426,1,Yes,1
PRV51560,0.5929216669585067,1,Yes,1
PRV51456,0.5927441391625218,1,No,0
PRV55230,0.5925629432423658,1,Yes,1
PRV55137,0.5924982690812686,1,No,0
PRV57560,0.5924287056684218,1,No,0
PRV54680,0.5923625116486448,1,Yes,1
PRV56011,0.592116823234497,1,Yes,1
PRV54053,0.5918367412891792,1,No,0
PRV55802,0.5918367412891792,1,No,0
PRV53083,0.5918367412891792,1,No,0
PRV56373,0.5918367412891792,1,No,0
PRV56891,0.5918367412891792,1,No,0
PRV53588,0.5918367412891792,1,No,0
PRV56331,0.5918367412891792,1,No,0
PRV56969,0.5918367412891792,1,No,0
PRV55572,0.5918367412891792,1,No,0
PRV56089,0.5918367412891792,1,No,0
PRV55074,0.5918367412891792,1,No,0
PRV57738,0.5918367412891792,1,No,0
PRV52754,0.5918367412891792,1,No,0
PRV52221,0.5918367412891792,1,No,0
PRV52443,0.5918367412891792,1,No,0
PRV53114,0.5918018912229678,1,Yes,1
PRV55664,0.5917254957668693,1,No,0
PRV57091,0.5916455455041255,1,No,0
PRV55531,0.5914934925141474,1,Yes,1
PRV51836,0.591365975854196,1,Yes,1
PRV52077,0.5912856008914761,1,Yes,1
PRV54765,0.5912607131987458,1,Yes,1
PRV51889,0.591074448119962,1,No,0
PRV57633,0.5906349583063515,1,No,0
PRV53095,0.5899815884166875,1,No,0
PRV56918,0.5897746639642744,1,Yes,1
PRV56556,0.5895743573817144,1,No,0
PRV52445,0.589419819222674,1,Yes,1
PRV55606,0.5892800066031771,1,No,0
PRV57017,0.5887343103692024,1,Yes,1
PRV57082,0.5883573289766615,1,No,0
PRV52292,0.5883162005314161,1,Yes,1
PRV55815,0.5881778749207718,1,No,0
PRV56548,0.588166130166065,1,No,0
PRV54075,0.5880028879682431,1,Yes,1
PRV56896,0.5877312887134518,1,No,0
PRV56007,0.5875287098600502,1,Yes,1
PRV53808,0.5873123842165661,1,Yes,1
PRV56129,0.5872257898014236,1,No,0
PRV55506,0.5869841489385609,1,Yes,1
PRV52627,0.5865305570753815,1,No,0
PRV55662,0.5864954070013624,1,No,0
PRV52536,0.5864400864600746,1,No,0
PRV53515,0.5864400864600746,1,No,0
PRV57335,0.5860755786313561,1,Yes,1
PRV55934,0.5858889768492844,1,Yes,1
PRV51542,0.5857350435139683,1,Yes,1
PRV53918,0.5855974874213191,1,Yes,1
PRV55456,0.585577166212874,1,No,0
PRV52021,0.5854290807119318,1,Yes,1
PRV52100,0.5852148205752274,1,Yes,1
PRV57357,0.5851584396996105,1,No,0
PRV53646,0.5848853012709831,1,No,0
PRV51819,0.5847808984254416,1,No,0
PRV54883,0.5846029479318878,1,No,0
PRV51806,0.5846029479318878,1,No,0
PRV51826,0.5845226960497504,1,Yes,1
PRV54876,0.5844804742103155,1,Yes,1
PRV54819,0.5843877921677522,1,No,0
PRV56673,0.5843446409822952,1,No,0
PRV51809,0.5841288071441341,1,No,0
PRV55817,0.5841063658543733,1,No,0
PRV56340,0.5836901061026081,1,No,0
PRV55905,0.5831464440331126,1,Yes,1
PRV55659,0.583086076042886,1,Yes,1
PRV56268,0.5827916919536145,1,Yes,1
PRV53712,0.5827906535695171,1,Yes,1
PRV51480,0.582402041834651,1,Yes,1
PRV52278,0.5823136434961863,1,No,0
PRV55706,0.5820347616924062,1,No,0
PRV54820,0.5820347616924062,1,No,0
PRV55810,0.5820347616924062,1,No,0
PRV51236,0.5820347616924062,1,No,0
PRV54498,0.5820347616924062,1,No,0
PRV55148,0.5819533723118109,1,No,0
PRV54817,0.5819533723118109,1,No,0
PRV54679,0.5819533723118109,1,No,0
PRV55792,0.5819533723118109,1,No,0
PRV55428,0.5819533723118109,1,No,0
PRV56545,0.5819533723118109,1,No,0
PRV56819,0.5818890187021889,1,No,0
PRV55761,0.5818054250682517,1,No,0
PRV53461,0.5816527463218079,1,Yes,1
PRV56121,0.581526205501574,1,No,0
PRV55971,0.5814497693069957,1,Yes,1
PRV52803,0.5810998837454098,1,No,0
PRV53244,0.5808832526036274,1,No,0
PRV55147,0.5808706945621659,1,Yes,1
PRV57400,0.5803913246289839,1,No,0
PRV51830,0.5802769803043003,1,No,0
PRV51629,0.5801555583029533,1,No,0
PRV55134,0.5800000754610277,1,No,0
PRV54499,0.5800000754610277,1,No,0
PRV53961,0.5799183186188213,1,Yes,1
PRV57403,0.5798435792493343,1,No,0
PRV56390,0.5797875705951063,1,No,0
PRV56908,0.5797639523162522,1,No,0
PRV52291,0.5797054163463388,1,No,0
PRV54986,0.579571851149832,1,Yes,1
PRV54164,0.5795159514902836,1,No,0
PRV52813,0.5794475815070688,1,No,0
PRV55019,0.579311874492051,1,Yes,1
PRV57490,0.579174757303421,1,No,0
PRV51981,0.5791506104477576,1,No,0
PRV57049,0.578930561735941,1,Yes,1
PRV54359,0.5788717635985775,1,Yes,1
PRV52466,0.578836535742048,1,No,0
PRV51860,0.5786472694951649,1,No,0
PRV56575,0.5785617007736436,1,Yes,1
PRV54894,0.57831335217986,1,Yes,1
PRV57631,0.5783039797845837,1,Yes,1
PRV57018,0.5780043755641134,1,Yes,1
PRV55143,0.5779869585307594,1,No,0
PRV56202,0.5779869585307594,1,No,0
PRV55151,0.5779869585307594,1,No,0
PRV54502,0.5779828126249431,1,No,0
PRV55849,0.5779472618981772,1,Yes,1
PRV57293,0.5777239531821927,1,No,0
PRV54837,0.577400852101308,1,Yes,1
PRV54081,0.5772443668141207,1,No,0
PRV55194,0.5770790243191651,1,Yes,1
PRV56873,0.5770654788033481,1,No,0
PRV54841,0.5769861749508787,1,No,0
PRV55665,0.5768755320692158,1,No,0
PRV53061,0.5768755320692158,1,No,0
PRV56339,0.5768755320692158,1,No,0
PRV57209,0.5766571660249296,1,Yes,1
PRV51053,0.5765622830724714,1,No,0
PRV54503,0.5765622830724714,1,No,0
PRV51977,0.5765622830724714,1,No,0
PRV52012,0.5765622830724714,1,No,0
PRV57141,0.5764829453442811,1,No,0
PRV56249,0.5762882943964625,1,Yes,1
PRV52295,0.5762317825834198,1,No,0
PRV57021,0.5759364867278586,1,Yes,1
PRV52286,0.5758732192824172,1,No,0
PRV54688,0.5757221746432128,1,Yes,1
PRV51824,0.5755809421184874,1,No,0
PRV54055,0.5755499665244103,1,No,0
PRV52642,0.575259329512729,1,Yes,1
PRV55715,0.5751546424328583,1,Yes,1
PRV57076,0.5750530164311365,1,No,0
PRV56106,0.5750530164311365,1,No,0
PRV51235,0.5750530164311365,1,No,0
PRV53958,0.5748602890548027,1,No,0
PRV56507,0.5748519560234265,1,No,0
PRV55150,0.5748316685582183,1,No,0
PRV57715,0.5747716120096436,1,No,0
PRV54848,0.5746920607663206,1,No,0
PRV52041,0.5745869033462475,1,Yes,1
PRV57306,0.5745171478479141,1,Yes,1
PRV57177,0.5744530923559752,1,Yes,1
PRV55658,0.5744439370340662,1,No,0
PRV53938,0.5744166964923428,1,Yes,1
PRV55525,0.5742929350676901,1,No,0
PRV57145,0.5741722276838621,1,No,0
PRV55666,0.5740839658481138,1,No,0
PRV56131,0.573925017003746,1,No,0
PRV51318,0.5738362877507945,1,No,0
PRV56437,0.5738156907155234,1,Yes,1
PRV51868,0.5738001718214338,1,Yes,1
PRV51927,0.5734971712944256,1,No,0
PRV55809,0.5734593067152146,1,No,0
PRV57016,0.573443965526241,1,No,0
PRV56243,0.5734152819138612,1,No,0
PRV55000,0.5732996255096682,1,No,0
PRV54981,0.5731185539171748,1,No,0
PRV53911,0.5730974663903211,1,Yes,1
PRV51347,0.5726804111413454,1,Yes,1
PRV57398,0.5725610548469541,1,No,0
PRV55577,0.5724134037034346,1,No,0
PRV57286,0.5724134037034346,1,No,0
PRV53769,0.572407187454005,1,Yes,1
PRV56555,0.5723812658773858,1,No,0
PRV53421,0.5722955266391959,1,Yes,1
PRV55453,0.5721510588425253,1,Yes,1
PRV55172,0.5721030003369578,1,Yes,1
PRV56685,0.5718802201119658,1,Yes,1
PRV51369,0.5716834022009893,1,Yes,1
PRV51207,0.5716769906541639,1,No,0
PRV53379,0.5715889852357711,1,Yes,1
PRV51146,0.5715002136917235,1,Yes,1
PRV56381,0.5714122403653364,1,No,0
PRV56329,0.5712763344650355,1,No,0
PRV53861,0.5712163641157504,1,No,0
PRV53862,0.571152975867468,1,No,0
PRV51827,0.571151024379232,1,No,0
PRV51121,0.5710934067330445,1,No,0
PRV51149,0.5710876783527385,1,Yes,1
PRV52063,0.5707831181242538,1,No,0
PRV56768,0.5707669386266631,1,No,0
PRV52123,0.5706105788511973,1,Yes,1
PRV56008,0.5704332973781948,1,Yes,1
PRV56906,0.5704135510257082,1,No,0
PRV56336,0.5703639994166642,1,No,0
PRV55169,0.5702182574589592,1,No,0
PRV56044,0.5701027361197909,1,No,0
PRV57295,0.5700320828326022,1,Yes,1
PRV56130,0.5700051340354546,1,No,0
PRV51710,0.5699675071360699,1,No,0
PRV51238,0.5697273058277486,1,No,0
PRV51610,0.5695754818963448,1,No,0
PRV55689,0.5695469019014414,1,Yes,1
PRV51948,0.5694064259789605,1,Yes,1
PRV51592,0.569396494916246,1,No,0
PRV53604,0.5693352955123888,1,No,0
PRV57294,0.5692405017653717,1,No,0
PRV52464,0.5692405017653717,1,No,0
PRV52296,0.5692405017653717,1,No,0
PRV51811,0.5690666996943856,1,No,0
PRV52289,0.5688553307585998,1,No,0
PRV54875,0.5687854150798805,1,Yes,1
PRV57567,0.5687241617592355,1,No,0
PRV56689,0.5685215333219004,1,Yes,1
PRV57298,0.568407619632607,1,No,0
PRV55430,0.568303990228951,1,Yes,1
PRV51390,0.5681349281811283,1,Yes,1
PRV51919,0.5681242073063218,1,No,0
PRV57629,0.5678559385087684,1,No,0
PRV52651,0.5678552471195224,1,No,0
PRV51507,0.5678115297031813,1,Yes,1
PRV52862,0.5677813931724542,1,No,0
PRV56603,0.5676141604079472,1,No,0
PRV57650,0.5676043263236485,1,No,0
PRV55699,0.5675300307845603,1,No,0
PRV52649,0.5674915508696592,1,Yes,1
PRV54576,0.5674525287931413,1,No,0
PRV55018,0.567274659921921,1,Yes,1
PRV57344,0.5670290112077458,1,Yes,1
PRV57094,0.5668665755266888,1,No,0
PRV52870,0.5667720521199096,1,Yes,1
PRV52628,0.5666670041010589,1,Yes,1
PRV54966,0.5666026877157282,1,Yes,1
PRV52020,0.5665976684633544,1,Yes,1
PRV52285,0.5664025127924258,1,No,0
PRV55382,0.5662625753158075,1,No,0
PRV53393,0.5662079702187243,1,No,0
PRV56748,0.5661234672281849,1,Yes,1
PRV54881,0.566008188696137,1,No,0
PRV56533,0.5658042244190209,1,No,0
PRV57171,0.5657947441013267,1,No,0
PRV54903,0.5655097325627086,1,No,0
PRV52884,0.5654273663051924,1,Yes,1
PRV53507,0.5653628701139594,1,No,0
PRV52648,0.5653462989393204,1,Yes,1
PRV56910,0.56533802607884,1,No,0
PRV52933,0.5652991772526408,1,Yes,1
PRV56490,0.5650647021807736,1,No,0
PRV51160,0.5649734882171844,1,No,0
PRV56647,0.5647671414680369,1,Yes,1
PRV52827,0.5646934655436063,1,No,0
PRV56585,0.564564434540789,1,No,0
PRV51102,0.564270531790711,1,No,0
PRV57096,0.5642485838344309,1,Yes,1
PRV53871,0.5640912760090777,1,No,0
PRV55161,0.5640906201402569,1,No,0
PRV51831,0.5640906201402569,1,No,0
PRV55126,0.5639165262257664,1,No,0
PRV51399,0.5638688070802733,1,Yes,1
PRV51378,0.5637900320583263,1,Yes,1
PRV57078,0.5634474733811481,1,No,0
PRV52971,0.5634384332108153,1,No,0
PRV51833,0.5634384332108153,1,No,0
PRV56803,0.5633653222005796,1,No,0
PRV54408,0.56328028058734,1,No,0
PRV52141,0.5629827184656446,1,No,0
PRV54205,0.562955283824441,1,No,0
PRV53163,0.5629166648279952,1,No,0
PRV55121,0.5628618782850086,1,No,0
PRV54200,0.5626570278138704,1,No,0
PRV53226,0.5626209325400828,1,No,0
PRV51108,0.5625721426860466,1,No,0
PRV51599,0.5625218603953495,1,No,0
PRV51433,0.5624479267633977,1,Yes,1
PRV57084,0.5624140347220099,1,No,0
PRV56895,0.5624110391076488,1,No,0
PRV53091,0.5621851676538068,1,No,0
PRV51614,0.5621812831644202,1,Yes,1
PRV53762,0.5621761788184001,1,Yes,1
PRV53135,0.5620681976679522,1,No,0
PRV56033,0.561956190927165,1,No,0
PRV55443,0.5619450237091762,1,No,0
PRV52066,0.5618816072271002,1,Yes,1
PRV51567,0.5618528521372789,1,Yes,1
PRV56368,0.5618267972985875,1,No,0
PRV53692,0.5618097034162297,1,Yes,1
PRV52808,0.5617778581103637,1,No,0
PRV55604,0.5616786310380809,1,No,0
PRV53921,0.5616718426735723,1,No,0
PRV54201,0.5615887343487788,1,No,0
PRV53233,0.5615627286204018,1,No,0
PRV55503,0.5615292725578551,1,No,0
PRV55812,0.5614884590175157,1,Yes,1
PRV54862,0.5614831874618005,1,No,0
PRV55676,0.5613911011014533,1,Yes,1
PRV52574,0.5610155974237744,1,Yes,1
PRV54204,0.5607441341179531,1,No,0
PRV57302,0.560547905337583,1,No,0
PRV51638,0.5605185032245378,1,No,0
PRV57024,0.5605157299505876,1,No,0
PRV56761,0.5599045643474907,1,No,0
PRV55157,0.5598677336312619,1,No,0
PRV55670,0.5596425344639006,1,Yes,1
PRV56544,0.5595668954968109,1,No,0
PRV56225,0.5594710278777955,1,Yes,1
PRV57073,0.5594464543213222,1,No,0
PRV54070,0.5592462375535128,1,Yes,1
PRV53236,0.5590966638851551,1,No,0
PRV54936,0.5590897667902432,1,Yes,1
PRV56395,0.5590858253842216,1,No,0
PRV51586,0.5589752694479634,1,Yes,1
PRV56834,0.5589666389413034,1,No,0
PRV57251,0.5588572536001574,1,No,0
PRV54500,0.5587863756719333,1,No,0
PRV53602,0.5587544228953514,1,No,0
PRV51100,0.5583322178456772,1,No,0
PRV56003,0.5582420821903489,1,No,0
PRV54939,0.5579393423579174,1,Yes,1
PRV54059,0.5578905125700159,1,No,0
PRV57215,0.5578426722743732,1,No,0
PRV53269,0.5576907256260507,1,Yes,1
PRV55897,0.5575600082894623,1,Yes,1
PRV51101,0.5575436567894678,1,No,0
PRV54812,0.5574661263411685,1,No,0
PRV57489,0.5574654945543407,1,No,0
PRV57638,0.5574413075911893,1,No,0
PRV55385,0.5572587723533124,1,No,0
PRV56549,0.5572511783211294,1,No,0
PRV53063,0.5572023957758153,1,No,0
PRV56001,0.5571893810840761,1,No,0
PRV56285,0.557168537711696,1,No,0
PRV51325,0.557150050059748,1,No,0
PRV51588,0.5570115687466832,1,No,0
PRV53895,0.5568815471107198,1,Yes,1
PRV55120,0.556779143927079,1,No,0
PRV51979,0.5566424755920519,1,Yes,1
PRV55663,0.5566230220252323,1,No,0
PRV56133,0.5566062359965482,1,No,0
PRV52065,0.5565818545214221,1,Yes,1
PRV57023,0.5564621190260446,1,No,0
PRV56335,0.5564464109246668,1,No,0
PRV54786,0.5563961800098755,1,Yes,1
PRV57487,0.5563129179338003,1,No,0
PRV56288,0.5562137713751824,1,No,0
PRV51005,0.556108467822404,1,Yes,1
PRV55193,0.5559574941845511,1,Yes,1
PRV51166,0.5558617232023937,1,No,0
PRV53451,0.5555397004545184,1,No,0
PRV51820,0.5555397004545184,1,No,0
PRV55378,0.5553381452247173,1,No,0
PRV56739,0.5552212702507345,1,No,0
PRV55387,0.5551779715100652,1,No,0
PRV54639,0.5550867819798547,1,No,0
PRV56126,0.5550781770660459,1,No,0
PRV51490,0.5550682795071875,1,Yes,1
PRV54461,0.554942130956297,1,No,0
PRV53380,0.5548614490565132,1,No,0
PRV56543,0.5548614490565132,1,No,0
PRV53304,0.5547262972149206,1,No,0
PRV54720,0.5545528341452093,1,No,0
PRV52787,0.554547154177156,1,No,0
PRV52887,0.5545028044666258,1,Yes,1
PRV51245,0.5543929892194351,1,No,0
PRV51170,0.5541801362637055,1,Yes,1
PRV56919,0.5541651305436739,1,No,0
PRV51987,0.5541651305436739,1,No,0
PRV54745,0.5541439834493104,1,No,0
PRV56588,0.5541332662325793,1,Yes,1
PRV55550,0.5539018282992595,1,Yes,1
PRV55603,0.5538954151388631,1,No,0
PRV51334,0.5538954151388631,1,No,0
PRV56916,0.5536799992988125,1,No,0
PRV53857,0.5536266298053596,1,No,0
PRV51109,0.5534437172596025,1,No,0
PRV57252,0.5534437172596025,1,No,0
PRV54060,0.553312434210779,1,No,0
PRV51159,0.553260727759948,1,Yes,1
PRV51625,0.5531123234234905,1,No,0
PRV53121,0.5530919826283395,1,Yes,1
PRV53398,0.5528740431896331,1,No,0
PRV52337,0.5527812171033273,1,Yes,1
PRV54822,0.5527347430753484,1,Yes,1
PRV51118,0.5527347430753484,1,No,0
PRV55678,0.5526905967805997,1,No,0
PRV51821,0.5526756155140707,1,No,0
PRV55783,0.5523354455691486,1,No,0
PRV56900,0.5522829743265394,1,No,0
PRV54828,0.5522503232408739,1,Yes,1
PRV55813,0.5522293820082247,1,No,0
PRV56481,0.5521205362093823,1,Yes,1
PRV57406,0.5520414284047317,1,No,0
PRV54202,0.5520349032448898,1,No,0
PRV53517,0.551989675476219,1,No,0
PRV52807,0.551989675476219,1,No,0
PRV54971,0.5519303348273703,1,No,0
PRV56592,0.5518114658879197,1,Yes,1
PRV53513,0.5517919062529395,1,No,0
PRV53240,0.5516168298278191,1,No,0
PRV53668,0.5514680458268685,1,Yes,1
PRV51231,0.5511600776435377,1,No,0
PRV55671,0.5511600776435377,1,No,0
PRV52462,0.5511600776435377,1,No,0
PRV57075,0.5511600776435377,1,No,0
PRV52806,0.5511600776435377,1,No,0
PRV51110,0.551054561789975,1,No,0
PRV52590,0.5510312560882032,1,Yes,1
PRV53867,0.5509815330445419,1,No,0
PRV55509,0.5509792557940053,1,Yes,1
PRV52494,0.5508076863082684,1,No,0
PRV53655,0.5508076863082684,1,No,0
PRV56926,0.5508076863082684,1,No,0
PRV53734,0.5508076863082684,1,No,0
PRV56168,0.5508076863082684,1,No,0
PRV56677,0.5508076863082684,1,No,0
PRV52453,0.5508076863082684,1,No,0
PRV57402,0.5508076863082684,1,No,0
PRV57659,0.5508076863082684,1,No,0
PRV57670,0.5508076863082684,1,No,0
PRV51842,0.5507200478602902,1,Yes,1
PRV56550,0.5506207570413243,1,Yes,1
PRV52582,0.5505795944247038,1,No,0
PRV54501,0.5505551434460608,1,No,0
PRV52495,0.5503963782945576,1,No,0
PRV55149,0.5503837806096784,1,No,0
PRV52622,0.550330727656958,1,No,0
PRV52335,0.5503184358819562,1,No,0
PRV56808,0.5502549066511355,1,Yes,1
PRV54616,0.5501228690168235,1,No,0
PRV52578,0.5499153839726392,1,Yes,1
PRV53107,0.5498799654465294,1,No,0
PRV51803,0.5498491571680167,1,No,0
PRV51421,0.5497198389162972,1,Yes,1
PRV52904,0.5496755815027263,1,No,0
PRV54325,0.5493595560850303,1,No,0
PRV55163,0.5492916031663683,1,Yes,1
PRV53401,0.5491882827303668,1,Yes,1
PRV55494,0.5491624893536132,1,No,0
PRV54298,0.5490380408698934,1,No,0
PRV56289,0.5490294872721182,1,No,0
PRV57636,0.5490294872721182,1,No,0
PRV54821,0.5488649645166896,1,No,0
PRV55049,0.5486501766325125,1,Yes,1
PRV51495,0.5485464152425805,1,Yes,1
PRV56444,0.5484687783146494,1,Yes,1
PRV52553,0.5483587612807734,1,No,0
PRV52446,0.5483579469622467,1,No,0
PRV55791,0.5483579469622467,1,No,0
PRV55913,0.5482454796054761,1,Yes,1
PRV52857,0.5482379968887008,1,No,0
PRV53159,0.5482256892121,1,No,0
PRV56668,0.548139817516124,1,Yes,1
PRV52889,0.5480463159245414,1,No,0
PRV54077,0.5479835611495117,1,Yes,1
PRV51539,0.5478655055009697,1,Yes,1
PRV53799,0.5478250310311559,1,No,0
PRV55540,0.5478004719677528,1,No,0
PRV57284,0.5476484522015229,1,Yes,1
PRV55128,0.5475311170719517,1,No,0
PRV56669,0.5474877534078788,1,Yes,1
