Provider,TotalClaims,AnomalousClaims,AverageRiskScore,MaximumRiskScore,PotentialFraud,AnomalyRate
PRV56363,19,1,2.97,15.64,No,5.26
PRV51074,39,2,3.7,22.14,No,5.13
PRV51671,39,2,3.47,30.83,No,5.13
PRV56260,59,3,5.36,31.28,No,5.08
PRV54378,79,4,4.18,26.47,No,5.06
PRV51560,238,12,4.71,34.66,Yes,5.04
PRV53755,20,1,6.33,46.37,No,5.0
PRV54875,20,1,6.0,25.07,Yes,5.0
PRV53855,20,1,4.92,17.58,Yes,5.0
PRV52417,20,1,4.49,35.59,No,5.0
PRV53070,20,1,4.35,18.72,No,5.0
PRV56669,40,2,4.31,19.77,Yes,5.0
PRV56858,40,2,4.03,39.22,No,5.0
PRV51226,20,1,3.9,38.95,No,5.0
PRV55095,20,1,3.38,19.47,No,5.0
PRV51915,20,1,3.15,19.58,No,5.0
PRV51936,20,1,2.85,16.68,No,5.0
PRV56657,20,1,2.54,16.4,No,5.0
PRV55531,122,6,5.34,61.67,Yes,4.92
PRV52280,41,2,5.5,26.67,Yes,4.88
PRV52882,41,2,3.59,23.38,No,4.88
PRV53320,62,3,4.03,25.66,No,4.84
PRV53991,62,3,3.36,22.71,No,4.84
PRV54056,21,1,5.58,30.0,Yes,4.76
PRV54860,21,1,4.75,30.72,No,4.76
PRV56176,21,1,4.5,28.18,No,4.76
PRV52355,63,3,4.26,17.39,No,4.76
PRV56507,42,2,4.13,35.88,No,4.76
PRV53849,21,1,3.99,28.73,No,4.76
PRV52836,21,1,3.85,17.39,No,4.76
PRV51623,21,1,3.79,15.59,No,4.76
PRV56098,21,1,3.78,30.81,No,4.76
PRV56931,21,1,3.64,15.54,No,4.76
PRV54780,21,1,3.61,15.77,No,4.76
PRV56882,21,1,3.39,37.51,No,4.76
PRV55041,21,1,3.38,18.97,No,4.76
PRV51861,21,1,2.71,21.56,No,4.76
PRV52407,43,2,3.88,18.65,No,4.65
PRV54246,43,2,3.66,17.6,No,4.65
PRV54429,65,3,3.86,23.14,No,4.62
PRV52634,87,4,4.4,29.59,No,4.6
PRV51629,22,1,4.99,16.15,No,4.55
PRV54411,22,1,4.57,20.16,No,4.55
PRV55956,22,1,4.51,29.5,No,4.55
PRV53383,22,1,4.26,17.47,No,4.55
PRV51084,110,5,4.15,35.75,Yes,4.55
PRV51884,44,2,3.92,28.2,No,4.55
PRV51379,22,1,3.91,21.95,No,4.55
PRV51173,22,1,3.69,19.94,Yes,4.55
PRV56272,22,1,3.52,16.5,No,4.55
PRV57429,154,7,3.4,41.34,No,4.55
PRV51906,22,1,3.38,17.72,No,4.55
PRV56938,22,1,2.58,18.6,No,4.55
PRV54963,67,3,3.8,29.63,No,4.48
PRV55930,45,2,3.59,17.11,No,4.44
PRV51542,113,5,4.86,24.42,Yes,4.42
PRV57334,68,3,5.93,56.62,No,4.41
PRV57196,68,3,3.19,25.79,No,4.41
PRV57711,23,1,5.72,19.71,No,4.35
PRV52582,23,1,5.69,21.38,No,4.35
PRV55472,23,1,4.97,18.35,Yes,4.35
PRV51432,23,1,4.89,26.77,No,4.35
PRV53612,46,2,4.18,35.85,No,4.35
PRV51529,23,1,3.92,36.54,No,4.35
PRV52373,23,1,3.84,17.83,No,4.35
PRV54102,23,1,3.76,23.55,No,4.35
PRV51013,46,2,3.68,28.56,No,4.35
PRV56427,23,1,3.52,29.42,No,4.35
PRV55733,46,2,3.27,25.4,No,4.35
PRV55882,23,1,3.25,15.72,No,4.35
PRV53208,23,1,3.21,26.34,Yes,4.35
PRV53340,23,1,3.21,27.3,No,4.35
PRV51435,23,1,2.81,18.0,No,4.35
PRV54490,23,1,2.67,17.4,No,4.35
PRV55218,94,4,2.5,16.81,No,4.26
PRV52173,119,5,5.1,23.04,Yes,4.2
PRV56753,24,1,4.16,17.35,No,4.17
PRV51579,72,3,3.78,24.93,No,4.17
PRV53439,24,1,3.65,16.98,No,4.17
PRV51650,24,1,3.41,16.87,No,4.17
PRV55085,24,1,3.2,33.93,No,4.17
PRV51125,48,2,3.18,37.11,No,4.17
PRV55335,24,1,2.94,16.84,No,4.17
PRV56798,24,1,2.66,18.11,No,4.17
PRV57098,49,2,5.57,31.11,No,4.08
PRV53225,49,2,4.72,16.39,No,4.08
PRV52578,49,2,4.36,24.57,Yes,4.08
PRV54084,49,2,3.77,20.13,No,4.08
PRV53945,49,2,2.71,18.32,No,4.08
PRV54337,149,6,4.48,56.26,No,4.03
PRV54819,25,1,5.79,37.22,No,4.0
PRV56374,25,1,4.96,38.9,No,4.0
PRV51793,25,1,4.77,18.47,No,4.0
PRV54317,25,1,4.12,41.65,No,4.0
PRV51609,75,3,3.95,35.76,No,4.0
PRV57732,50,2,3.92,21.92,No,4.0
PRV55817,25,1,3.89,21.21,No,4.0
PRV56722,25,1,3.83,17.54,No,4.0
PRV54133,25,1,3.49,28.12,No,4.0
PRV56432,25,1,3.4,31.13,No,4.0
PRV51001,25,1,3.26,15.58,No,4.0
PRV53164,25,1,3.16,30.33,No,4.0
PRV53652,25,1,2.66,21.64,No,4.0
PRV57435,25,1,2.44,17.46,No,4.0
PRV55849,176,7,4.9,24.82,Yes,3.98
PRV55435,151,6,4.74,47.41,Yes,3.97
PRV51448,51,2,3.85,25.22,No,3.92
PRV57600,51,2,3.3,15.78,No,3.92
PRV54320,102,4,2.79,19.13,No,3.92
PRV54349,77,3,3.79,17.51,No,3.9
PRV54890,77,3,3.65,40.31,No,3.9
PRV53571,26,1,4.35,22.15,No,3.85
PRV56763,26,1,3.74,16.56,No,3.85
PRV57263,52,2,3.63,19.25,No,3.85
PRV55390,26,1,3.54,26.33,No,3.85
PRV53607,26,1,3.52,30.44,No,3.85
PRV55875,26,1,3.45,17.05,No,3.85
PRV55104,52,2,3.41,34.23,No,3.85
PRV54627,26,1,3.19,17.04,No,3.85
PRV57041,26,1,3.15,16.07,No,3.85
PRV56894,26,1,3.09,41.34,No,3.85
PRV52476,26,1,2.97,22.21,No,3.85
PRV54840,26,1,2.85,16.59,No,3.85
PRV55697,26,1,2.42,17.83,No,3.85
PRV52044,79,3,3.77,21.76,No,3.8
PRV53792,53,2,5.06,17.02,Yes,3.77
PRV56379,53,2,3.63,21.22,No,3.77
PRV56438,133,5,4.7,26.65,Yes,3.76
PRV55957,107,4,3.32,41.29,Yes,3.74
PRV51809,27,1,5.71,25.59,No,3.7
PRV55547,27,1,5.27,32.11,No,3.7
PRV56487,27,1,4.8,31.08,No,3.7
PRV54909,27,1,3.79,21.56,No,3.7
PRV52404,27,1,3.75,15.53,No,3.7
PRV57533,108,4,3.57,35.6,No,3.7
PRV57174,54,2,3.5,28.76,No,3.7
PRV54677,27,1,3.47,16.41,No,3.7
PRV55468,27,1,3.46,19.73,No,3.7
PRV56853,27,1,3.43,18.59,No,3.7
PRV51593,54,2,3.24,18.59,Yes,3.7
PRV54208,27,1,3.13,21.01,No,3.7
PRV51776,54,2,3.09,19.75,No,3.7
PRV52878,27,1,2.93,17.34,No,3.7
PRV53159,27,1,2.6,19.05,No,3.7
PRV53671,55,2,4.22,24.29,Yes,3.64
PRV55482,83,3,4.82,39.38,Yes,3.61
PRV56396,83,3,3.91,35.82,Yes,3.61
PRV55013,83,3,3.39,37.41,No,3.61
PRV55662,28,1,5.15,27.59,No,3.57
PRV55256,28,1,4.35,37.46,No,3.57
PRV51675,28,1,4.13,35.24,No,3.57
PRV54384,28,1,3.85,38.05,No,3.57
PRV51947,28,1,3.52,18.22,No,3.57
PRV53796,28,1,3.31,22.5,No,3.57
PRV54375,56,2,3.3,17.37,No,3.57
PRV54783,28,1,2.83,15.57,No,3.57
PRV55652,28,1,2.82,15.79,No,3.57
PRV54074,113,4,3.76,36.07,Yes,3.54
PRV56088,85,3,2.68,31.38,No,3.53
PRV55361,85,3,2.52,21.99,No,3.53
PRV52157,227,8,3.55,38.27,No,3.52
PRV55172,114,4,4.17,45.13,Yes,3.51
PRV53697,114,4,4.03,30.43,No,3.51
PRV51510,57,2,2.9,29.38,No,3.51
PRV57547,86,3,4.16,31.76,Yes,3.49
PRV51040,86,3,3.8,36.72,No,3.49
PRV55833,144,5,3.19,19.35,No,3.47
PRV54718,29,1,5.24,15.62,Yes,3.45
PRV55550,58,2,4.84,30.02,Yes,3.45
PRV53763,58,2,4.75,44.27,Yes,3.45
PRV53297,29,1,3.75,16.58,Yes,3.45
PRV54259,29,1,3.6,15.76,No,3.45
PRV55276,58,2,3.48,16.75,No,3.45
PRV51642,29,1,3.44,31.36,No,3.45
PRV51153,87,3,3.34,40.3,No,3.45
PRV54328,117,4,3.6,33.46,No,3.42
PRV57345,88,3,3.84,22.6,Yes,3.41
PRV55295,88,3,3.22,16.67,No,3.41
PRV52991,59,2,3.29,18.18,No,3.39
PRV54066,148,5,3.3,33.26,No,3.38
PRV54935,89,3,3.54,33.62,No,3.37
PRV54093,89,3,3.39,19.62,Yes,3.37
PRV52265,30,1,4.75,16.39,No,3.33
PRV55958,30,1,3.83,39.01,No,3.33
PRV53274,30,1,3.7,58.32,No,3.33
PRV52319,30,1,3.67,19.42,No,3.33
PRV53413,30,1,3.6,22.06,No,3.33
PRV57427,30,1,3.57,15.83,No,3.33
PRV51240,60,2,3.52,37.7,No,3.33
PRV54504,120,4,3.47,33.03,Yes,3.33
PRV51083,90,3,3.45,27.77,No,3.33
PRV55343,90,3,3.43,24.29,No,3.33
PRV51035,30,1,3.3,16.64,No,3.33
PRV52606,30,1,2.75,15.49,No,3.33
PRV53353,30,1,2.53,15.75,No,3.33
PRV56497,30,1,2.49,26.63,No,3.33
PRV52151,121,4,3.56,29.01,Yes,3.31
PRV57523,151,5,3.14,30.72,No,3.31
PRV56349,61,2,4.48,27.86,No,3.28
PRV52472,61,2,3.78,22.26,No,3.28
PRV57000,61,2,3.55,34.25,No,3.28
PRV52629,61,2,3.18,40.74,No,3.28
PRV57641,61,2,2.84,37.66,No,3.28
PRV53043,61,2,2.4,20.62,No,3.28
PRV55171,247,8,3.68,35.06,Yes,3.24
PRV56134,62,2,5.41,29.85,Yes,3.23
PRV54760,31,1,4.47,18.02,No,3.23
PRV56574,62,2,4.19,32.6,No,3.23
PRV53384,62,2,4.08,19.7,Yes,3.23
PRV52155,62,2,3.96,23.09,No,3.23
PRV57169,31,1,3.96,28.73,No,3.23
PRV51514,93,3,3.88,36.05,No,3.23
PRV52831,31,1,3.63,16.41,No,3.23
PRV53743,31,1,3.6,37.61,No,3.23
PRV56206,31,1,3.48,29.62,No,3.23
PRV52598,31,1,3.25,18.54,No,3.23
PRV54779,31,1,3.23,15.55,No,3.23
PRV52254,31,1,2.82,29.91,No,3.23
PRV57541,31,1,2.47,17.97,No,3.23
PRV54112,31,1,2.09,15.65,No,3.23
PRV54936,221,7,4.72,74.09,Yes,3.17
PRV52431,63,2,3.28,36.21,No,3.17
PRV52260,63,2,3.11,21.66,No,3.17
PRV51356,95,3,3.11,30.78,No,3.16
PRV52421,95,3,2.8,21.92,No,3.16
PRV51490,64,2,5.12,42.1,Yes,3.12
PRV57301,32,1,4.28,21.87,No,3.12
PRV51926,32,1,3.82,33.14,No,3.12
PRV54933,64,2,3.65,31.45,Yes,3.12
PRV51191,32,1,3.49,18.45,No,3.12
PRV55441,32,1,3.49,15.46,No,3.12
PRV54162,32,1,3.23,15.52,No,3.12
PRV56526,32,1,3.05,33.66,No,3.12
PRV52934,32,1,2.98,15.51,No,3.12
PRV53968,32,1,2.97,36.45,No,3.12
PRV52717,129,4,3.17,31.89,No,3.1
PRV51523,65,2,4.63,30.74,No,3.08
PRV56557,65,2,3.43,51.41,No,3.08
PRV53665,65,2,3.08,31.13,No,3.08
PRV54421,65,2,2.69,23.7,No,3.08
PRV51165,98,3,3.66,39.71,No,3.06
PRV55996,98,3,3.49,25.87,Yes,3.06
PRV56469,131,4,3.4,33.64,No,3.05
PRV55374,33,1,5.37,16.28,Yes,3.03
PRV52283,66,2,4.58,26.95,Yes,3.03
PRV52079,33,1,4.36,18.29,No,3.03
PRV54559,66,2,4.3,37.03,No,3.03
PRV53396,99,3,3.85,28.24,No,3.03
PRV53716,33,1,3.53,30.04,No,3.03
PRV51113,132,4,3.5,24.49,No,3.03
PRV55225,66,2,3.49,23.42,Yes,3.03
PRV51070,99,3,3.43,24.01,No,3.03
PRV53059,33,1,3.42,16.44,No,3.03
PRV55447,66,2,3.35,30.04,No,3.03
PRV55707,33,1,2.97,16.09,No,3.03
PRV53664,132,4,2.93,21.65,No,3.03
PRV51428,66,2,2.89,18.08,No,3.03
PRV57038,33,1,2.87,17.2,No,3.03
PRV51344,33,1,2.66,18.43,No,3.03
PRV54590,66,2,2.53,16.81,No,3.03
PRV54619,33,1,2.39,15.6,No,3.03
PRV56421,133,4,3.5,23.25,Yes,3.01
PRV52348,67,2,3.44,25.85,No,2.99
PRV56535,67,2,2.79,23.15,No,2.99
PRV53301,67,2,2.68,15.8,No,2.99
PRV55265,201,6,2.63,26.23,No,2.99
PRV53765,67,2,2.22,27.23,No,2.99
PRV51145,202,6,4.88,72.83,Yes,2.97
PRV53884,269,8,4.04,29.3,Yes,2.97
PRV55901,101,3,3.18,24.72,No,2.97
PRV57160,101,3,3.18,35.7,No,2.97
PRV51637,34,1,4.27,28.91,No,2.94
PRV55242,34,1,3.97,15.82,No,2.94
PRV52346,68,2,3.85,33.44,No,2.94
PRV51951,102,3,3.78,32.1,Yes,2.94
PRV57266,34,1,3.74,16.4,No,2.94
PRV53495,34,1,3.51,34.95,No,2.94
PRV56014,34,1,3.47,16.93,No,2.94
PRV51454,34,1,3.41,27.88,No,2.94
PRV56403,34,1,3.41,16.43,Yes,2.94
PRV51455,34,1,3.38,18.11,No,2.94
PRV54907,170,5,3.04,29.32,No,2.94
PRV56696,34,1,2.95,18.76,No,2.94
PRV53307,34,1,2.88,26.11,No,2.94
PRV54765,239,7,4.95,67.65,Yes,2.93
PRV52565,137,4,2.84,27.58,No,2.92
PRV56555,69,2,5.33,37.72,No,2.9
PRV54998,207,6,3.57,34.11,Yes,2.9
PRV54245,173,5,3.21,36.92,No,2.89
PRV52590,208,6,4.21,40.73,Yes,2.88
PRV51788,139,4,2.72,18.73,No,2.88
PRV53692,244,7,4.34,78.8,Yes,2.87
PRV55579,174,5,2.73,31.64,No,2.87
PRV56001,70,2,5.27,85.43,No,2.86
PRV54737,35,1,4.12,20.93,No,2.86
PRV55458,35,1,4.06,23.21,No,2.86
PRV51286,70,2,4.04,27.97,No,2.86
PRV55567,70,2,3.93,22.3,No,2.86
PRV53362,35,1,3.91,16.56,No,2.86
PRV53141,105,3,3.74,60.1,No,2.86
PRV57548,210,6,3.68,35.48,Yes,2.86
PRV53056,35,1,3.64,17.55,No,2.86
PRV52418,35,1,3.53,30.65,No,2.86
PRV54653,70,2,3.47,19.33,No,2.86
PRV52009,35,1,3.37,18.16,No,2.86
PRV53888,70,2,3.23,18.57,No,2.86
PRV53064,35,1,3.2,16.4,No,2.86
PRV56116,35,1,3.18,16.34,No,2.86
PRV56772,70,2,3.12,16.7,No,2.86
PRV52943,35,1,2.99,35.22,No,2.86
PRV54574,35,1,2.56,20.42,No,2.86
PRV53808,493,14,3.59,27.81,Yes,2.84
PRV54930,211,6,3.26,35.54,No,2.84
PRV57341,177,5,4.05,43.36,Yes,2.82
PRV55912,107,3,3.77,24.5,Yes,2.8
PRV56148,143,4,3.07,24.18,No,2.8
PRV51940,251,7,4.57,40.03,Yes,2.79
PRV56138,36,1,3.96,36.88,No,2.78
PRV51243,36,1,3.47,29.14,No,2.78
PRV52149,180,5,3.44,35.58,No,2.78
PRV55726,36,1,3.0,32.81,No,2.78
PRV52692,36,1,2.85,16.21,No,2.78
PRV51795,36,1,2.84,20.24,No,2.78
PRV53706,473,13,4.38,69.15,Yes,2.75
PRV54507,109,3,3.46,27.94,No,2.75
PRV52474,37,1,4.95,36.18,No,2.7
PRV54917,37,1,3.88,25.32,No,2.7
PRV57269,37,1,3.84,22.3,No,2.7
