Provider,Total_Claims,Total_Reimbursed,Avg_Reimbursed,Total_Deductible,Unique_Beneficiaries,Unique_Diagnosis_Codes,Unique_Procedure_Codes,Unique_Attending_Physicians,Inpatient_Claims,Outpatient_Claims,Services_Per_Beneficiary,Reimbursed_Per_Beneficiary,Inpatient_Ratio,PotentialFraud,Peer_Group,Group_Size,STATUS
PRV53028,3,300,100.0,0.0,3,3,0,2,0,3,1.0,100.0,0.0,No,Infectious,22,INSUFFICIENT_PEERS
PRV53178,7,730,104.28571428571428,0.0,5,5,0,4,0,7,1.4,146.0,0.0,No,Unknown,11,INSUFFICIENT_PEERS
PRV53206,3,570,190.0,0.0,2,3,0,3,0,3,1.5,285.0,0.0,No,Skin,18,INSUFFICIENT_PEERS
PRV53498,2,860,430.0,50.0,2,2,0,2,0,2,1.0,430.0,0.0,No,Blood,27,INSUFFICIENT_PEERS
PRV53517,2,17000,8500.0,2136.0,2,2,0,1,2,0,1.0,8500.0,1.0,No,Infectious,22,INSUFFICIENT_PEERS
PRV53599,3,22000,7333.333333333333,3204.0,3,3,2,2,3,0,1.0,7333.333333333333,1.0,No,Infectious,22,INSUFFICIENT_PEERS
PRV53860,1,100,100.0,0.0,1,1,0,1,0,1,1.0,100.0,0.0,No,Blood,27,INSUFFICIENT_PEERS
PRV54040,2,250,125.0,0.0,2,2,0,1,0,2,1.0,125.0,0.0,No,Skin,18,INSUFFICIENT_PEERS
PRV54053,1,10,10.0,0.0,1,1,0,1,0,1,1.0,10.0,0.0,No,Blood,27,INSUFFICIENT_PEERS
PRV54122,4,510,127.5,0.0,4,4,0,4,0,4,1.0,127.5,0.0,No,Infectious,22,INSUFFICIENT_PEERS
PRV54523,1,90,90.0,0.0,1,1,0,1,0,1,1.0,90.0,0.0,No,Skin,18,INSUFFICIENT_PEERS
PRV54796,2,1700,850.0,0.0,2,2,0,1,0,2,1.0,850.0,0.0,No,Blood,27,INSUFFICIENT_PEERS
PRV55078,1,0,0.0,0.0,1,1,0,1,0,1,1.0,0.0,0.0,No,Blood,27,INSUFFICIENT_PEERS
PRV55092,8,660,82.5,140.0,8,8,0,1,0,8,1.0,82.5,0.0,No,Blood,27,INSUFFICIENT_PEERS
PRV55138,3,25000,8333.333333333334,3204.0,3,3,2,1,3,0,1.0,8333.333333333334,1.0,No,Infectious,22,INSUFFICIENT_PEERS
PRV55143,1,10000,10000.0,1068.0,1,1,0,1,1,0,1.0,10000.0,1.0,No,Infectious,22,INSUFFICIENT_PEERS
PRV55156,1,6000,6000.0,1068.0,1,1,1,1,1,0,1.0,6000.0,1.0,No,Infectious,22,INSUFFICIENT_PEERS
PRV55157,3,16000,5333.333333333333,3204.0,3,3,2,1,3,0,1.0,5333.333333333333,1.0,No,Skin,18,INSUFFICIENT_PEERS
PRV55427,1,50,50.0,0.0,1,1,0,1,0,1,1.0,50.0,0.0,No,Infectious,22,INSUFFICIENT_PEERS
PRV55509,39,362510,9295.128205128203,29904.0,38,35,15,28,28,11,1.0263157894736843,9539.736842105263,0.717948717948718,Yes,Infectious,22,INSUFFICIENT_PEERS
PRV55610,1,1700,1700.0,0.0,1,1,0,1,0,1,1.0,1700.0,0.0,No,Blood,27,INSUFFICIENT_PEERS
PRV55631,2,400,200.0,0.0,2,2,0,2,0,2,1.0,200.0,0.0,No,Blood,27,INSUFFICIENT_PEERS
PRV55759,3,240,80.0,80.0,3,3,0,3,0,3,1.0,80.0,0.0,No,Pregnancy,1,INSUFFICIENT_PEERS
PRV55802,1,10,10.0,0.0,1,0,0,1,0,1,1.0,10.0,0.0,No,Unknown,11,INSUFFICIENT_PEERS
PRV55874,10,1380,138.0,0.0,10,10,0,7,0,10,1.0,138.0,0.0,No,Blood,27,INSUFFICIENT_PEERS
PRV55881,1,30,30.0,70.0,1,0,0,1,0,1,1.0,30.0,0.0,No,Unknown,11,INSUFFICIENT_PEERS
PRV55886,4,340,85.0,0.0,4,4,0,1,0,4,1.0,85.0,0.0,No,Blood,27,INSUFFICIENT_PEERS
PRV56077,7,2450,350.0,0.0,7,7,0,1,0,7,1.0,350.0,0.0,No,Skin,18,INSUFFICIENT_PEERS
PRV56106,2,10000,5000.0,1068.0,2,2,1,1,2,0,1.0,5000.0,1.0,No,Blood,27,INSUFFICIENT_PEERS
PRV56108,15,7360,490.6666666666667,0.0,11,12,0,1,0,15,1.3636363636363635,669.0909090909091,0.0,No,Unknown,11,INSUFFICIENT_PEERS
PRV56163,7,3180,454.2857142857143,80.0,6,6,0,5,0,7,1.1666666666666667,530.0,0.0,No,Infectious,22,INSUFFICIENT_PEERS
PRV56168,1,20,20.0,0.0,1,1,0,1,0,1,1.0,20.0,0.0,No,Blood,27,INSUFFICIENT_PEERS
PRV56170,18,73370,4076.1111111111113,8544.0,16,16,4,11,8,10,1.125,4585.625,0.4444444444444444,No,Infectious,22,INSUFFICIENT_PEERS
PRV56179,8,9950,1243.75,1068.0,8,8,1,3,1,7,1.0,1243.75,0.125,No,Blood,27,INSUFFICIENT_PEERS
PRV56190,6,790,131.66666666666666,60.0,4,6,0,2,0,6,1.5,197.5,0.0,No,Skin,18,INSUFFICIENT_PEERS
PRV56193,14,4880,348.57142857142856,100.0,12,13,0,4,0,14,1.1666666666666667,406.6666666666667,0.0,No,Skin,18,INSUFFICIENT_PEERS
PRV56309,3,1320,440.0,0.0,3,3,0,1,0,3,1.0,440.0,0.0,No,Blood,27,INSUFFICIENT_PEERS
PRV56340,3,57000,19000.0,3204.0,3,3,2,1,3,0,1.0,19000.0,1.0,No,Congenital,2,INSUFFICIENT_PEERS
PRV56699,3,550,183.33333333333331,0.0,3,2,0,2,0,3,1.0,183.33333333333331,0.0,No,Skin,18,INSUFFICIENT_PEERS
PRV56771,2,460,230.0,30.0,2,2,0,2,0,2,1.0,230.0,0.0,No,Blood,27,INSUFFICIENT_PEERS
PRV56855,4,290,72.5,100.0,3,4,0,2,0,4,1.3333333333333333,96.66666666666669,0.0,No,Skin,18,INSUFFICIENT_PEERS
PRV56903,2,57000,28500.0,2136.0,2,2,2,2,2,0,1.0,28500.0,1.0,No,Infectious,22,INSUFFICIENT_PEERS
PRV56912,7,90000,12857.142857142857,7476.0,7,6,5,5,7,0,1.0,12857.142857142857,1.0,No,Infectious,22,INSUFFICIENT_PEERS
PRV56919,2,30,15.0,0.0,2,2,0,1,0,2,1.0,15.0,0.0,No,Blood,27,INSUFFICIENT_PEERS
PRV56926,1,20,20.0,0.0,1,1,0,1,0,1,1.0,20.0,0.0,No,Skin,18,INSUFFICIENT_PEERS
PRV56956,5,2810,562.0,0.0,5,5,0,1,0,5,1.0,562.0,0.0,No,Blood,27,INSUFFICIENT_PEERS
PRV57087,4,31000,7750.0,4272.0,4,4,2,1,4,0,1.0,7750.0,1.0,No,Skin,18,INSUFFICIENT_PEERS
PRV57265,1,200,200.0,0.0,1,1,0,1,0,1,1.0,200.0,0.0,No,Blood,27,INSUFFICIENT_PEERS
PRV57327,3,190,63.333333333333336,0.0,3,3,0,3,0,3,1.0,63.333333333333336,0.0,No,Skin,18,INSUFFICIENT_PEERS
PRV57396,1,0,0.0,0.0,1,1,0,1,0,1,1.0,0.0,0.0,No,Infectious,22,INSUFFICIENT_PEERS
PRV57403,15,172000,11466.666666666666,16020.0,13,15,9,5,15,0,1.1538461538461535,13230.76923076923,1.0,No,Skin,18,INSUFFICIENT_PEERS
PRV57461,1,0,0.0,0.0,1,0,0,1,0,1,1.0,0.0,0.0,No,Unknown,11,INSUFFICIENT_PEERS
PRV57475,23,9340,406.0869565217391,0.0,16,23,0,1,0,23,1.4375,583.75,0.0,No,Blood,27,INSUFFICIENT_PEERS
PRV57595,56,10250,183.03571428571428,100.0,24,53,0,14,0,56,2.333333333333333,427.0833333333333,0.0,No,Blood,27,INSUFFICIENT_PEERS
PRV57662,3,2460,820.0,0.0,3,2,0,3,0,3,1.0,820.0,0.0,No,Unknown,11,INSUFFICIENT_PEERS
PRV57696,3,100,33.333333333333336,0.0,3,3,0,3,0,3,1.0,33.333333333333336,0.0,No,Blood,27,INSUFFICIENT_PEERS
PRV57707,2,70,35.0,0.0,2,1,0,2,0,2,1.0,35.0,0.0,No,Unknown,11,INSUFFICIENT_PEERS
PRV57714,4,480,120.0,50.0,4,3,0,4,0,4,1.0,120.0,0.0,No,Unknown,11,INSUFFICIENT_PEERS
PRV57753,1,80,80.0,0.0,1,1,0,1,0,1,1.0,80.0,0.0,No,Infectious,22,INSUFFICIENT_PEERS
