Provider,total_claims,inpatient_claims,outpatient_claims,inpatient_ratio,total_beneficiaries,claims_per_beneficiary,total_reimbursement,mean_reimbursement,max_reimbursement,total_deductible,mean_deductible,reimbursement_per_beneficiary,unique_attending,unique_operating,unique_other,mean_diagnosis_count,mean_procedure_count,unique_diagnosis_codes,unique_procedure_codes,mean_patient_age,mean_patient_chronic_conds,patient_death_rate,renal_disease_rate,unique_states,unique_counties,primary_state,mean_claim_duration,mean_admission_duration,PotentialFraud
PRV51015,8,0,8,0.0,7,1.1428571428571428,700,87.5,200,0.0,0.0,100.0,3,1,4,3.125,0.0,22,0,71.625,6.375,0.0,0.375,1,3,1,0.375,0.0,0
PRV51016,6,0,6,0.0,6,1.0,170,28.333333333333332,90,0.0,0.0,28.333333333333332,3,1,0,3.5,0.0,21,0,70.5,5.5,0.0,0.16666666666666666,1,3,1,0.3333333333333333,0.0,0
PRV51017,515,0,515,0.0,420,1.2261904761904763,142720,277.126213592233,3300,1050.0,2.0388349514563107,339.8095238095238,113,46,69,2.704854368932039,0.003883495145631068,723,2,72.14368932038835,4.36504854368932,0.009708737864077669,0.1650485436893204,10,61,25,1.3572815533980582,0.0,0
PRV51021,257,29,228,0.11284046692607004,208,1.2355769230769231,348830,1357.3151750972763,57000,31492.0,122.53696498054475,1677.0673076923076,69,30,41,3.4280155642023344,0.08560311284046693,520,18,72.58365758754864,4.715953307392996,0.0038910505836575876,0.22178988326848248,4,34,1,2.0,4.758620689655173,1
PRV51023,36,9,27,0.25,35,1.0285714285714285,65610,1822.5,13000,8624.0,246.4,1874.5714285714287,14,8,6,4.555555555555555,0.1388888888888889,130,5,72.75,4.361111111111111,0.0,0.2777777777777778,1,7,1,3.6666666666666665,3.5555555555555554,0
PRV51024,39,9,30,0.23076923076923078,38,1.0263157894736843,64050,1642.3076923076924,13000,9702.0,248.76923076923077,1685.5263157894738,13,5,8,3.5128205128205128,0.1794871794871795,112,7,68.02564102564102,4.717948717948718,0.0,0.3076923076923077,2,10,1,1.641025641025641,4.333333333333333,0
PRV51025,87,13,74,0.14942528735632185,76,1.144736842105263,118350,1360.344827586207,17000,14284.0,164.183908045977,1557.2368421052631,35,15,20,3.67816091954023,0.13793103448275862,222,11,73.51724137931035,4.436781609195402,0.0,0.21839080459770116,2,13,1,2.1724137931034484,7.0,0
PRV51026,76,0,76,0.0,56,1.3571428571428572,19840,261.05263157894734,3300,340.0,4.473684210526316,354.2857142857143,29,10,18,2.4078947368421053,0.0,142,0,69.5657894736842,4.078947368421052,0.013157894736842105,0.15789473684210525,3,9,1,1.0921052631578947,0.0,0
PRV51027,53,0,53,0.0,44,1.2045454545454546,29840,563.0188679245283,3300,0.0,0.0,678.1818181818181,10,6,5,2.4716981132075473,0.0,106,0,73.0,4.830188679245283,0.018867924528301886,0.3018867924528302,2,5,1,2.1320754716981134,0.0,0
PRV51029,93,0,93,0.0,79,1.1772151898734178,30660,329.6774193548387,3300,160.0,1.7204301075268817,388.1012658227848,38,10,17,2.838709677419355,0.0,202,0,70.91397849462365,3.913978494623656,0.010752688172043012,0.13978494623655913,6,17,1,0.6989247311827957,0.0,0
PRV51030,171,82,89,0.47953216374269003,145,1.1793103448275861,739760,4326.081871345029,57000,86748.0,510.2823529411765,5101.793103448276,46,12,23,5.152046783625731,0.3333333333333333,465,48,71.85380116959064,4.7894736842105265,0.011695906432748537,0.27485380116959063,2,14,1,3.198830409356725,4.621951219512195,0
PRV51031,185,28,157,0.15135135135135136,157,1.178343949044586,359720,1944.4324324324325,68000,30244.0,163.48108108108107,2291.2101910828023,60,16,28,3.362162162162162,0.13513513513513514,384,23,72.63783783783784,4.956756756756757,0.005405405405405406,0.21081081081081082,4,29,1,2.0,5.535714285714286,0
PRV51032,23,0,23,0.0,21,1.0952380952380953,5420,235.65217391304347,2900,50.0,2.1739130434782608,258.0952380952381,10,4,8,2.347826086956522,0.0,47,0,69.43478260869566,4.434782608695652,0.043478260869565216,0.13043478260869565,3,5,11,0.9130434782608695,0.0,0
PRV51035,30,1,29,0.03333333333333333,25,1.2,32560,1085.3333333333333,29000,1428.0,47.6,1302.4,18,7,8,2.4,0.03333333333333333,59,1,73.76666666666667,4.933333333333334,0.0,0.26666666666666666,2,8,1,2.2666666666666666,14.0,0
PRV51036,278,0,278,0.0,131,2.122137404580153,74880,269.3525179856115,4400,1410.0,5.071942446043166,571.6030534351145,5,3,4,2.615107913669065,0.0,463,0,72.65827338129496,4.399280575539568,0.0,0.15827338129496402,1,7,1,1.0503597122302157,0.0,0
PRV51037,454,23,431,0.05066079295154185,206,2.203883495145631,342230,753.8105726872246,23000,25524.0,56.220264317180614,1661.3106796116506,3,3,1,2.986784140969163,0.028634361233480177,690,12,71.89867841409692,4.656387665198238,0.022026431718061675,0.14537444933920704,1,7,1,1.5330396475770924,4.565217391304348,1
PRV51038,141,30,111,0.2127659574468085,107,1.3177570093457944,265490,1882.9078014184397,17000,31192.0,222.8,2481.214953271028,44,16,22,3.3191489361702127,0.10638297872340426,323,14,71.56028368794327,4.843971631205674,0.0070921985815602835,0.22695035460992907,3,15,1,1.7801418439716312,4.033333333333333,0
PRV51040,86,9,77,0.10465116279069768,69,1.2463768115942029,74470,865.9302325581396,21000,8784.0,103.34117647058824,1079.2753623188405,15,8,11,3.453488372093023,0.08139534883720931,206,7,71.17441860465117,4.372093023255814,0.011627906976744186,0.1511627906976744,2,10,1,1.6627906976744187,10.555555555555555,0
PRV51041,34,0,34,0.0,31,1.096774193548387,7410,217.94117647058823,3200,270.0,7.9411764705882355,239.03225806451613,9,4,5,2.5294117647058822,0.0,76,0,70.41176470588235,4.088235294117647,0.0,0.08823529411764706,1,6,1,2.3529411764705883,0.0,0
PRV51042,142,0,142,0.0,128,1.109375,48050,338.38028169014086,3300,310.0,2.183098591549296,375.390625,52,27,27,2.4859154929577465,0.0,258,0,72.59859154929578,4.070422535211268,0.0,0.15492957746478872,9,28,1,1.232394366197183,0.0,0
PRV51043,23,0,23,0.0,20,1.15,4480,194.7826086956522,1100,0.0,0.0,224.0,6,2,4,1.9130434782608696,0.0,42,0,74.17391304347827,4.260869565217392,0.0,0.043478260869565216,2,4,1,0.0,0.0,0
PRV51044,59,0,59,0.0,39,1.5128205128205128,21330,361.52542372881356,3300,130.0,2.2033898305084745,546.9230769230769,1,1,1,2.389830508474576,0.0,118,0,69.15254237288136,4.508474576271187,0.0,0.13559322033898305,1,5,1,2.152542372881356,0.0,0
PRV51045,31,0,31,0.0,29,1.0689655172413792,8390,270.64516129032256,3300,40.0,1.2903225806451613,289.3103448275862,16,4,8,2.6451612903225805,0.0,71,0,71.3225806451613,4.483870967741935,0.0,0.1935483870967742,3,9,1,2.2580645161290325,0.0,0
PRV51046,38,8,30,0.21052631578947367,26,1.4615384615384615,109370,2878.157894736842,38000,8644.0,227.47368421052633,4206.538461538462,6,2,4,3.473684210526316,0.13157894736842105,111,5,72.07894736842105,5.105263157894737,0.0,0.10526315789473684,1,6,1,1.631578947368421,4.5,0
PRV51047,11,0,11,0.0,11,1.0,2530,230.0,1300,0.0,0.0,230.0,10,1,5,2.0,0.0,22,0,70.54545454545455,3.909090909090909,0.0,0.0,2,6,1,3.090909090909091,0.0,0
PRV51048,38,4,34,0.10526315789473684,33,1.1515151515151516,27700,728.9473684210526,7000,4352.0,114.52631578947368,839.3939393939394,15,7,8,2.9473684210526314,0.07894736842105263,97,3,70.28947368421052,4.921052631578948,0.0,0.10526315789473684,1,9,1,0.6052631578947368,4.75,0
PRV51049,71,0,71,0.0,65,1.0923076923076922,21720,305.9154929577465,3300,190.0,2.676056338028169,334.15384615384613,35,11,21,2.5774647887323945,0.0,147,0,70.64788732394366,4.661971830985915,0.0,0.23943661971830985,4,21,1,1.7887323943661972,0.0,0
PRV51052,46,2,44,0.043478260869565216,37,1.2432432432432432,30800,669.5652173913044,9000,2346.0,51.0,832.4324324324324,17,5,6,3.282608695652174,0.021739130434782608,116,1,71.56521739130434,4.1521739130434785,0.0,0.1956521739130435,1,7,1,2.282608695652174,9.0,1
PRV51053,1,1,0,1.0,1,1.0,8000,8000.0,8000,1068.0,1068.0,8000.0,1,1,1,9.0,1.0,9,1,68.0,4.0,0.0,1.0,1,1,10,5.0,5.0,0
PRV51054,57,0,57,0.0,40,1.425,15130,265.43859649122805,1900,140.0,2.456140350877193,378.25,3,2,2,2.491228070175439,0.0,124,0,70.33333333333333,3.456140350877193,0.0,0.15789473684210525,1,4,1,2.3508771929824563,0.0,0
PRV51055,22,2,20,0.09090909090909091,22,1.0,21640,983.6363636363636,16000,2206.0,100.27272727272727,983.6363636363636,6,3,3,3.6363636363636362,0.09090909090909091,72,2,68.72727272727273,4.681818181818182,0.0,0.22727272727272727,1,8,1,0.5909090909090909,5.5,0
PRV51056,22,2,20,0.09090909090909091,21,1.0476190476190477,14700,668.1818181818181,5000,2146.0,97.54545454545455,700.0,5,3,4,2.8181818181818183,0.09090909090909091,61,2,76.68181818181819,5.545454545454546,0.0,0.3181818181818182,1,6,1,0.7272727272727273,3.0,0
PRV51057,5,0,5,0.0,4,1.25,6830,1366.0,3300,0.0,0.0,1707.5,1,1,1,4.0,0.0,20,0,78.0,3.2,0.0,0.0,1,1,1,0.0,0.0,0
PRV51058,83,5,78,0.060240963855421686,75,1.1066666666666667,107030,1289.5180722891566,57000,5540.0,66.74698795180723,1427.0666666666666,31,11,17,3.3012048192771086,0.060240963855421686,200,5,73.43373493975903,4.518072289156627,0.0,0.1686746987951807,2,10,1,1.3012048192771084,7.4,0
PRV51059,96,25,71,0.2604166666666667,82,1.170731707317073,421060,4386.041666666667,57000,26940.0,280.625,5134.878048780488,30,15,17,4.083333333333333,0.25,266,22,74.11458333333333,4.208333333333333,0.0,0.1875,1,17,1,2.4791666666666665,6.88,1
PRV51060,42,5,37,0.11904761904761904,42,1.0,43710,1040.7142857142858,14000,5340.0,127.14285714285714,1040.7142857142858,28,5,8,3.4047619047619047,0.0,116,0,71.47619047619048,4.523809523809524,0.0,0.19047619047619047,2,15,1,2.3095238095238093,4.8,0
PRV51061,145,1,144,0.006896551724137931,67,2.1641791044776117,54940,378.8965517241379,6700,1328.0,9.158620689655173,820.0,6,4,5,2.5517241379310347,0.013793103448275862,260,2,76.93103448275862,4.062068965517241,0.0,0.20689655172413793,2,5,1,2.393103448275862,8.0,0
PRV51062,397,3,394,0.007556675062972292,166,2.391566265060241,153380,386.3476070528967,25000,3944.0,9.934508816120907,923.9759036144578,6,4,1,2.7455919395465993,0.012594458438287154,634,5,72.77833753148614,4.738035264483627,0.0,0.2695214105793451,1,12,1,1.5969773299748111,4.333333333333333,0
PRV51063,149,0,149,0.0,115,1.2956521739130435,51110,343.02013422818794,3300,160.0,1.0738255033557047,444.4347826086956,3,3,0,2.51006711409396,0.0,286,0,69.38255033557047,4.469798657718121,0.006711409395973154,0.2348993288590604,1,14,1,1.610738255033557,0.0,0
PRV51064,303,36,267,0.1188118811881188,227,1.3348017621145374,360320,1189.1749174917493,37000,38948.0,128.54125412541254,1587.3127753303966,111,46,65,3.3795379537953796,0.0858085808580858,573,20,72.92739273927393,4.702970297029703,0.0033003300330033004,0.2079207920792079,4,39,1,1.9504950495049505,5.305555555555555,1
PRV51065,28,10,18,0.35714285714285715,26,1.0769230769230769,76570,2734.6428571428573,11000,9722.0,360.0740740740741,2945.0,9,4,4,4.964285714285714,0.32142857142857145,108,9,75.28571428571429,4.571428571428571,0.0,0.10714285714285714,1,6,1,2.9285714285714284,5.6,0
PRV51066,24,2,22,0.08333333333333333,21,1.1428571428571428,24790,1032.9166666666667,15000,2236.0,93.16666666666667,1180.4761904761904,7,5,6,3.2083333333333335,0.08333333333333333,70,2,68.54166666666667,3.875,0.041666666666666664,0.16666666666666666,1,5,1,1.0833333333333333,2.0,0
PRV51067,58,12,46,0.20689655172413793,49,1.183673469387755,334520,5767.586206896552,83000,13096.0,225.79310344827587,6826.938775510204,21,5,14,3.9482758620689653,0.22413793103448276,173,11,68.03448275862068,4.5,0.0,0.22413793103448276,1,8,1,2.310344827586207,6.583333333333333,1
PRV51068,261,9,252,0.034482758620689655,214,1.219626168224299,143260,548.8888888888889,19000,8984.0,34.55384615384615,669.4392523364486,79,35,45,2.89272030651341,0.011494252873563218,495,3,70.6896551724138,4.287356321839081,0.011494252873563218,0.13026819923371646,2,15,1,1.3754789272030652,3.0,0
PRV51070,99,10,89,0.10101010101010101,69,1.434782608695652,125410,1266.7676767676767,22000,10980.0,110.9090909090909,1817.536231884058,46,15,16,3.01010101010101,0.06060606060606061,222,6,69.93939393939394,3.9696969696969697,0.0,0.18181818181818182,5,20,25,1.9090909090909092,4.1,0
PRV51071,24,0,24,0.0,24,1.0,8550,356.25,3200,50.0,2.0833333333333335,356.25,11,2,5,2.625,0.0,55,0,68.41666666666667,4.875,0.0,0.041666666666666664,2,9,1,2.0833333333333335,0.0,0
PRV51072,212,12,200,0.05660377358490566,160,1.325,119170,562.122641509434,14000,12178.0,57.71563981042654,744.8125,47,22,45,3.150943396226415,0.02830188679245283,417,6,72.28301886792453,4.433962264150943,0.018867924528301886,0.1650943396226415,3,23,1,1.5377358490566038,4.25,0
PRV51074,39,5,34,0.1282051282051282,39,1.0,41170,1055.6410256410256,15000,5420.0,138.97435897435898,1055.6410256410256,14,5,5,3.6923076923076925,0.02564102564102564,114,1,72.8974358974359,4.615384615384615,0.0,0.1282051282051282,5,14,1,1.8974358974358974,2.6,0
PRV51075,17,0,17,0.0,13,1.3076923076923077,8550,502.94117647058823,3000,70.0,4.117647058823529,657.6923076923077,4,2,3,2.3529411764705883,0.0,38,0,76.58823529411765,4.470588235294118,0.0,0.11764705882352941,1,5,1,1.1764705882352942,0.0,0
PRV51076,29,0,29,0.0,27,1.0740740740740742,10230,352.7586206896552,3300,50.0,1.7241379310344827,378.8888888888889,8,3,5,2.5172413793103448,0.0,67,0,75.72413793103448,4.758620689655173,0.034482758620689655,0.20689655172413793,1,7,1,1.1724137931034482,0.0,0
PRV51077,33,16,17,0.48484848484848486,30,1.1,204350,6192.424242424242,56000,16220.0,506.875,6811.666666666667,11,2,5,5.0606060606060606,0.24242424242424243,127,8,70.36363636363636,5.696969696969697,0.0,0.30303030303030304,1,4,1,4.181818181818182,5.9375,1
PRV51078,23,9,14,0.391304347826087,23,1.0,78270,3403.0434782608695,16000,8644.0,392.90909090909093,3403.0434782608695,13,5,5,4.913043478260869,0.34782608695652173,91,8,70.6086956521739,4.217391304347826,0.0,0.17391304347826086,1,9,1,2.652173913043478,6.666666666666667,0
PRV51081,200,6,194,0.03,131,1.5267175572519085,124080,620.4,48000,7168.0,35.84,947.175572519084,3,2,1,3.04,0.045,395,8,72.27,4.615,0.005,0.255,2,7,1,1.62,6.0,0
PRV51082,34,0,34,0.0,31,1.096774193548387,5470,160.88235294117646,1000,70.0,2.0588235294117645,176.4516129032258,9,3,6,2.588235294117647,0.0,69,0,72.67647058823529,3.8529411764705883,0.0,0.20588235294117646,1,6,1,1.1764705882352942,0.0,0
PRV51083,90,0,90,0.0,81,1.1111111111111112,18100,201.11111111111111,3300,140.0,1.5555555555555556,223.45679012345678,18,8,15,2.577777777777778,0.0,183,0,74.8,4.711111111111111,0.0,0.14444444444444443,3,15,1,1.3777777777777778,0.0,0
PRV51084,110,20,90,0.18181818181818182,85,1.2941176470588236,215580,1959.8181818181818,45000,21890.0,199.0,2536.235294117647,32,12,15,3.3363636363636364,0.12727272727272726,247,11,72.42727272727272,4.4363636363636365,0.0,0.09090909090909091,2,17,1,1.6727272727272726,5.65,1
PRV51086,139,31,108,0.22302158273381295,115,1.208695652173913,446170,3209.856115107914,57000,33168.0,238.61870503597123,3879.7391304347825,24,16,18,4.2086330935251794,0.17266187050359713,356,24,74.6978417266187,4.41726618705036,0.014388489208633094,0.22302158273381295,3,19,1,2.7985611510791366,4.838709677419355,0
PRV51089,228,18,210,0.07894736842105263,197,1.1573604060913705,230900,1012.719298245614,41000,18696.0,82.36123348017621,1172.0812182741117,72,29,43,3.1140350877192984,0.07456140350877193,452,16,71.03947368421052,4.390350877192983,0.008771929824561403,0.2324561403508772,5,41,1,1.6929824561403508,5.166666666666667,0
PRV51090,7,0,7,0.0,7,1.0,5830,832.8571428571429,3300,60.0,8.571428571428571,832.8571428571429,3,1,1,2.4285714285714284,0.0,15,0,71.71428571428571,4.285714285714286,0.0,0.0,1,3,1,5.714285714285714,0.0,0
PRV51091,44,0,44,0.0,44,1.0,9270,210.6818181818182,2100,80.0,1.8181818181818181,210.6818181818182,19,6,13,3.090909090909091,0.0,104,0,69.04545454545455,4.5,0.022727272727272728,0.11363636363636363,2,14,1,0.9318181818181818,0.0,0
PRV51093,9,2,7,0.2222222222222222,9,1.0,13710,1523.3333333333333,11000,2136.0,237.33333333333334,1523.3333333333333,6,3,4,4.0,0.2222222222222222,32,2,75.55555555555556,4.666666666666667,0.0,0.1111111111111111,2,4,10,1.4444444444444444,6.0,0
PRV51096,5,0,5,0.0,5,1.0,3200,640.0,2100,100.0,20.0,640.0,3,0,2,1.6,0.0,8,0,85.2,4.8,0.0,0.4,1,4,1,4.0,0.0,0
PRV51097,125,0,125,0.0,71,1.7605633802816902,44420,355.36,3500,230.0,1.84,625.6338028169014,1,1,1,2.584,0.0,247,0,70.816,3.92,0.0,0.224,1,8,1,1.744,0.0,0
PRV51098,4,0,4,0.0,4,1.0,300,75.0,200,0.0,0.0,75.0,2,0,2,3.25,0.0,13,0,81.75,6.0,0.0,0.5,1,2,1,0.0,0.0,0
PRV51100,5,5,0,1.0,5,1.0,78000,15600.0,33000,5340.0,1068.0,15600.0,3,1,1,8.6,0.8,41,4,70.6,3.6,0.2,0.2,1,2,1,6.0,6.0,0
PRV51101,3,3,0,1.0,3,1.0,16600,5533.333333333333,13000,3204.0,1068.0,5533.333333333333,1,1,0,7.333333333333333,0.3333333333333333,22,1,57.0,6.333333333333333,0.0,0.3333333333333333,1,3,1,3.3333333333333335,3.3333333333333335,0
PRV51102,12,12,0,1.0,11,1.0909090909090908,148000,12333.333333333334,47000,12816.0,1068.0,13454.545454545454,3,1,1,8.333333333333334,0.9166666666666666,88,10,79.83333333333333,4.75,0.0,0.25,1,2,1,4.0,4.0,0
PRV51103,6,0,6,0.0,4,1.5,440,73.33333333333333,200,60.0,10.0,110.0,2,0,2,1.3333333333333333,0.0,8,0,76.66666666666667,7.166666666666667,0.0,0.0,1,1,1,0.0,0.0,1
PRV51104,12,0,12,0.0,9,1.3333333333333333,1900,158.33333333333334,700,110.0,9.166666666666666,211.11111111111111,2,0,2,2.3333333333333335,0.0,28,0,78.91666666666667,5.0,0.0,0.16666666666666666,1,1,1,1.1666666666666667,0.0,0
PRV51105,12,0,12,0.0,12,1.0,6540,545.0,1800,0.0,0.0,545.0,2,1,2,2.3333333333333335,0.0,28,0,76.08333333333333,5.083333333333333,0.0,0.16666666666666666,1,1,1,3.3333333333333335,0.0,0
PRV51108,19,19,0,1.0,19,1.0,156000,8210.526315789473,22000,19224.0,1068.0,8210.526315789473,6,3,0,7.578947368421052,0.3157894736842105,107,6,71.89473684210526,5.947368421052632,0.0,0.21052631578947367,1,5,1,5.2631578947368425,5.2631578947368425,0
PRV51109,3,3,0,1.0,3,1.0,18000,6000.0,8000,3204.0,1068.0,6000.0,1,2,0,8.666666666666666,1.3333333333333333,25,4,56.0,8.333333333333334,0.0,0.0,1,2,1,6.333333333333333,6.333333333333333,0
PRV51110,5,5,0,1.0,5,1.0,27000,5400.0,9000,5340.0,1068.0,5400.0,3,3,0,9.4,0.8,42,4,67.6,5.6,0.0,0.4,3,5,1,10.2,10.2,0
PRV51111,132,0,132,0.0,85,1.5529411764705883,54860,415.6060606060606,7010,200.0,1.5151515151515151,645.4117647058823,4,2,2,2.840909090909091,0.0,278,0,72.70454545454545,4.492424242424242,0.0,0.26515151515151514,1,4,1,2.462121212121212,0.0,0
PRV51112,304,0,304,0.0,195,1.558974358974359,105250,346.2171052631579,4100,810.0,2.664473684210526,539.7435897435897,7,7,6,2.651315789473684,0.0,465,0,71.28289473684211,4.3618421052631575,0.03289473684210526,0.19078947368421054,1,6,1,1.8453947368421053,0.0,0
PRV51113,132,0,132,0.0,78,1.6923076923076923,46390,351.43939393939394,3300,550.0,4.166666666666667,594.7435897435897,2,2,1,2.75,0.007575757575757576,255,1,71.32575757575758,4.257575757575758,0.045454545454545456,0.23484848484848486,1,4,1,1.5454545454545454,0.0,0
PRV51114,262,0,262,0.0,160,1.6375,76720,292.82442748091603,8200,560.0,2.1374045801526718,479.5,5,4,3,2.4732824427480917,0.0,376,0,70.32442748091603,4.484732824427481,0.022900763358778626,0.21374045801526717,1,7,1,1.1984732824427482,0.0,0
PRV51115,7,0,7,0.0,6,1.1666666666666667,980,140.0,600,20.0,2.857142857142857,163.33333333333334,3,1,3,1.8571428571428572,0.0,13,0,72.57142857142857,4.142857142857143,0.0,0.14285714285714285,1,2,1,0.0,0.0,0
PRV51117,12,0,12,0.0,10,1.2,1950,162.5,1400,0.0,0.0,195.0,4,0,3,2.3333333333333335,0.0,28,0,68.41666666666667,5.75,0.0,0.4166666666666667,2,5,1,1.75,0.0,0
PRV51118,16,16,0,1.0,16,1.0,136000,8500.0,22000,14952.0,1068.0,8500.0,4,4,1,7.8125,0.875,106,14,67.1875,5.0625,0.0,0.0625,1,5,1,4.25,4.25,0
PRV51119,95,94,1,0.9894736842105263,81,1.1728395061728396,1080580,11374.526315789473,118000,96985.0,1065.7692307692307,13340.493827160493,8,7,7,8.031578947368422,0.7894736842105263,357,51,74.86315789473684,5.3578947368421055,0.010526315789473684,0.23157894736842105,1,10,1,6.042105263157895,5.9787234042553195,1
PRV51120,7,7,0,1.0,7,1.0,52000,7428.571428571428,15000,7476.0,1068.0,7428.571428571428,1,1,0,9.142857142857142,0.7142857142857143,51,5,60.857142857142854,5.0,0.0,0.42857142857142855,1,1,1,4.142857142857143,4.142857142857143,0
PRV51121,7,6,1,0.8571428571428571,7,1.0,81080,11582.857142857143,45000,6408.0,915.4285714285714,11582.857142857143,3,3,2,6.714285714285714,0.7142857142857143,41,5,66.42857142857143,4.428571428571429,0.14285714285714285,0.14285714285714285,1,3,1,5.571428571428571,6.5,0
PRV51122,7,0,7,0.0,7,1.0,1120,160.0,500,0.0,0.0,160.0,7,3,4,2.0,0.0,14,0,66.71428571428571,2.857142857142857,0.0,0.14285714285714285,1,3,2,0.0,0.0,0
PRV51123,31,2,29,0.06451612903225806,28,1.1071428571428572,26910,868.0645161290323,5000,2176.0,70.19354838709677,961.0714285714286,21,7,9,3.5161290322580645,0.03225806451612903,88,1,69.0,4.290322580645161,0.0,0.22580645161290322,4,11,2,2.4838709677419355,2.5,0
PRV51125,48,12,36,0.25,32,1.5,131310,2735.625,30000,13096.0,272.8333333333333,4103.4375,36,11,11,3.7916666666666665,0.20833333333333334,140,10,70.5,4.354166666666667,0.0,0.16666666666666666,2,11,2,2.4791666666666665,4.333333333333333,0
PRV51126,20,20,0,1.0,14,1.4285714285714286,177000,8850.0,25000,21360.0,1068.0,12642.857142857143,2,2,0,8.05,0.7,110,12,69.9,5.65,0.0,0.5,1,7,2,6.5,6.5,1
PRV51128,50,5,45,0.1,38,1.3157894736842106,102220,2044.4,29000,5340.0,106.8,2690.0,19,11,14,3.9,0.06,153,3,68.18,5.0,0.0,0.12,5,10,2,2.34,6.4,0
PRV51129,96,0,96,0.0,65,1.476923076923077,22920,238.75,2000,480.0,5.0,352.61538461538464,54,11,29,2.65625,0.0,194,0,73.52083333333333,4.1875,0.0,0.20833333333333334,9,19,2,1.3541666666666667,0.0,0
PRV51130,7,0,7,0.0,7,1.0,4970,710.0,3100,0.0,0.0,710.0,2,1,2,2.857142857142857,0.0,19,0,61.857142857142854,4.714285714285714,0.0,0.14285714285714285,1,3,2,2.857142857142857,0.0,0
PRV51131,8,0,8,0.0,8,1.0,1160,145.0,800,70.0,8.75,145.0,4,1,3,3.875,0.0,30,0,74.375,4.125,0.0,0.25,2,3,2,0.0,0.0,0
PRV51132,8,1,7,0.125,6,1.3333333333333333,5330,666.25,4000,1068.0,133.5,888.3333333333334,5,1,4,2.375,0.125,18,1,73.875,2.375,0.0,0.0,2,4,2,1.75,4.0,0
PRV51134,15,0,15,0.0,12,1.25,7610,507.3333333333333,2900,80.0,5.333333333333333,634.1666666666666,3,1,1,2.0,0.0,28,0,63.53333333333333,4.333333333333333,0.0,0.26666666666666666,1,3,2,2.6666666666666665,0.0,0
